MLRA,compname,count
94C,Ontonagon,13454
94C,Typic Duraquods,12965
94C,Horsehead,12840
94C,Otisco,12674
94C,Moltke,11881
94C,Greenwood,11361
94C,Wallace,11243
94C,Alstad,11147
94C,Lacota,10953
94C,Colonville,10870
94C,Entic Haplorthods,10761
94C,Bonduel,10652
94C,Grace,10391
94C,Winterfield,10315
94C,Crowell,10224
94C,Loxley,10211
94C,Ensign,9771
94C,Glawe,9696
94C,Ausable,9211
94C,Kanotin,9141
94C,Lachine,9089
94C,Argic Endoaquods,8944
94C,Esau,8693
94C,Skeel,8656
94C,Selkirk,8371
94C,Glennie,8159
94C,Grousehaven,8117
94C,Wainola,8067
94C,Melita,8029
94C,Wabun,7998
94C,Nadeau,7520
94C,Caffey,7010
94C,Markey,6774
94C,Maumee,6699
94C,Rollaway,6458
94C,Cublake,5996
94C,Chestonia,5634
94C,Manistee,5615
94C,Chinwhisker,5362
94C,Adrian,5267
94C,Saugatuck,5257
94C,Ubly,5014
94C,Isabella,5008
94C,Mongo,4933
94C,Kellogg,4902
94C,Willette,4890
94C,Fairport,4629
94C,St. Ignace,4561
94C,Elcajon,4384
94C,Warners,4010
94C,Curtisville,3727
94C,Millersburg,3679
94C,Edwards,3649
94C,Kerston,3341
94C,Nunica,3196
94C,Coppler,3083
94C,Barker,3019
94C,Bohemian,2987
94C,Killmaster,2847
94C,Typic Endoaquods,2768
94C,Kokosing,2716
94C,Dighton,2650
94C,Cohoctah,2565
94C,Corsair,2271
94C,Ogemaw,2037
94C,McGinn,1990
94C,Bergland,1978
94C,Saganing,1881
94C,Lindquist,1728
94C,Rondeau,1659
94C,Munuscong,1559
94C,Duel,1404
94C,Pipestone,1187
94C,Typic Glossudalfs,1140
94C,Covert,1113
94C,Bamfield,1057
94C,Longrie,1050
94C,Ceresco,1011
94C,Grattan,1005
94C,Rifle,922
94C,Edmore,722
94C,Tobico,712
94C,Arenic Eutroboralfs,700
94C,Essexville,557
94C,Sprinkler,513
94C,Kent,439
94C,Timakwa,412
94C,Arenic Hapludalfs,297
94C,Arnheim,284
94C,Spot,218
94C,Parkhill,130
94C,Houghton,101
94C,Selfridge,61
