OID_,Value,Count,MLRARSYM
1,1,14902592.000000000000000,103
2,2,33580064.000000000000000,104
3,3,57631583.000000000000000,105
4,4,6331566.000000000000000,107
5,5,81234115.000000000000000,108
6,6,31701547.000000000000000,109
7,7,2043687.000000000000000,112
8,8,36110471.000000000000000,113
9,9,72938573.000000000000000,115
10,10,7634031.000000000000000,116B
11,11,4577737.000000000000000,116C
12,12,12362582.000000000000000,117
13,13,11243127.000000000000000,118A
14,14,13792378.000000000000000,119
15,15,26055781.000000000000000,120A
16,16,6926946.000000000000000,120B
17,17,2919311.000000000000000,120C
18,18,30420612.000000000000000,121
19,19,16966849.000000000000000,123
20,20,36228038.000000000000000,124
21,21,62172026.000000000000000,125
22,22,50311664.000000000000000,126
23,23,54938347.000000000000000,127
24,24,63445197.000000000000000,128
25,25,22863260.000000000000000,129
26,26,5980803.000000000000000,130A
27,27,45960323.000000000000000,130B
28,28,6938935.000000000000000,131D
29,29,6429337.000000000000000,131B
30,30,339903.000000000000000,131C
31,31,18745675.000000000000000,133B
32,32,3879353.000000000000000,135B
33,33,173800656.000000000000000,136
34,34,19438098.000000000000000,137
35,35,65389012.000000000000000,140
36,36,3393420.000000000000000,141
37,37,99419907.000000000000000,143
38,38,55456690.000000000000000,144A
39,39,65555021.000000000000000,144B
40,40,5549600.000000000000000,145
41,41,59004985.000000000000000,147
42,42,34580126.000000000000000,148
43,43,7608090.000000000000000,149B
44,44,52351552.000000000000000,153A
45,45,25197356.000000000000000,153B
46,46,3297437.000000000000000,57
47,47,10294543.000000000000000,88
48,48,10402981.000000000000000,89
49,49,50172859.000000000000000,90A
50,50,14566870.000000000000000,90B
51,51,10052926.000000000000000,91
52,52,3328003.000000000000000,92
53,53,25347727.000000000000000,94A
54,54,10194598.000000000000000,94C
55,55,6054994.000000000000000,94D
56,56,11537519.000000000000000,96
57,57,10007099.000000000000000,97
58,58,47909237.000000000000000,98
59,59,15955426.000000000000000,153D
60,60,16004972.000000000000000,149A
61,61,27698879.000000000000000,94B
62,62,49675132.000000000000000,95A
63,63,709623.000000000000000,93B
64,64,5166336.000000000000000,146
65,65,34026310.000000000000000,139
66,66,48796552.000000000000000,93A
67,67,23575115.000000000000000,110
68,68,20118258.000000000000000,142
69,69,6019344.000000000000000,153C
70,70,37768740.000000000000000,99
71,71,67062535.000000000000000,133A
72,72,28673637.000000000000000,101
73,73,85009833.000000000000000,116A
74,74,60519059.000000000000000,122
75,75,42709135.000000000000000,134
76,76,11828765.000000000000000,135A
77,77,39416685.000000000000000,133C
78,78,49751796.000000000000000,131A
79,79,19260631.000000000000000,114B
80,80,9958186.000000000000000,114A
81,81,15393437.000000000000000,111D
82,82,8968822.000000000000000,111E
83,83,31904980.000000000000000,111B
84,84,31583962.000000000000000,111A
85,85,10156367.000000000000000,111C
