"muiid","MLRARSYM","affinity","LRU","best","ofbest","compname","coiid","dmuiid","nationalmusym","muname","tgs","majcompflag","comppct_r","taxorder","taxsubgrp","taxclname","drainagecl","slope_r","carbdepth","rockdepth","T50_frag","T50_sand","T50_silt","T50_clay","T50_OM","T50_AWC","T50_pH","T150_frag","T150_sand","T150_silt","T150_clay","T150_OM","T150_AWC","flood","humicdepth","ec","pmkind","pmorigin","landform_string","hydricrating","Bhs","Water_Table","Site"
2656825,"111B",1.68415932681447,"111B",42.1660145546929,3.99411550890106,"Muskego",2528261,754827,"2w5n1","Adrian muck, drained, 0 to 1 percent slopes",18.2616532677635,FALSE,3,"histosols","limnic haplosaprists","Coprogenous, euic, mesic Limnic Haplosaprists","very poorly",1,250,250,0,0,0,0,75,20.0000002980232,6.73,2.16,0,0,0,53.4,44.6099998801947,"none",203,0,"organic, herbaceous material & coprogenic material",NA,"lake plain & till plain & moraine & outwash plain & depression","yes","no",0,"M2 Mucky Depression"
2656825,"111B",1.68415932681447,"111B",42.1660145546929,3.99411550890106,"Houghton",2528262,754827,"2w5n1","Adrian muck, drained, 0 to 1 percent slopes",18.2616532677635,FALSE,6,"histosols","typic haplosaprists","Euic, mesic Typic Haplosaprists","very poorly",1,250,250,5.6,0,0,0,72,20.0000002980232,5.92000007629395,6.8,0,0,0,74,60.0000008940697,"none",203,0.800000011920929,"organic, herbaceous material",NA,"lake plain & till plain & moraine & outwash plain & depression","yes","no",0,"M2 Mucky Depression"
2656825,"111B",1.68415932681447,"111B",42.1660145546929,3.99411550890106,"Adrian",2528257,754827,"2w5n1","Adrian muck, drained, 0 to 1 percent slopes",18.2616532677635,TRUE,75,"histosols","terric haplosaprists","Sandy or sandy-skeletal, mixed, euic, mesic Terric Haplosaprists","very poorly",1,70,250,0.5,0,0,0,47.5,20.0000002980232,5.35000014305115,0.833333333333333,48,3.73333333333333,1.6,21.806666692098,32.8000003099442,"none",70,0.899999976158142,"organic, herbaceous material & outwash",NA,"lake plain & till plain & moraine & flood plain & outwash plain & depression","yes","no",0,"F2 Wet Floodplain"
2656825,"111B",1.68415932681447,"111B",42.1660145546929,3.99411550890106,"Edwards",2528263,754827,"2w5n1","Adrian muck, drained, 0 to 1 percent slopes",18.2616532677635,FALSE,6,"histosols","limnic haplosaprists","Marly, euic, mesic Limnic Haplosaprists","very poorly",0.5,23,250,0,0,0,0,78.1,20.0000002980232,5.87799989700317,5.6,11.2,35.28,9.52,41.82,52.4400005936623,"none",203,1.10000002384186,"organic, herbaceous material & marl",NA,"lake plain & till plain & moraine & outwash plain & depression","yes","no",0,"M2 Mucky Depression"
2656825,"111B",1.68415932681447,"111B",42.1660145546929,3.99411550890106,"Antung",2528258,754827,"2w5n1","Adrian muck, drained, 0 to 1 percent slopes",18.2616532677635,FALSE,10,"inceptisols","histic humaquepts","Sandy, mixed, mesic Histic Humaquepts","very poorly",1,30,250,3.6,37.6,1.6,0.8,45.1200000047684,13.2000001519918,7.09000003814697,7.2,75.2,3.2,1.6,15.2400000095367,19.2000000178814,"none",30,0,"organic, herbaceous material & outwash",NA,"lake plain & till plain & moraine & outwash plain & depression","yes","no",0,"Not"
160197,"111B",7.70353974055808,"111B",89.6441961252559,8.59346178953322,"Edwards",237863,119308,"5cpn","Edwards muck, drained",17.8538335800171,TRUE,100,"histosols","limnic haplosaprists","Marly, euic, mesic Limnic Haplosaprists","very poorly",0.5,0,250,0,0,0,0,65,20.0000002980232,7.59999990463257,0,6.9,30.82,8.28,36.02,32.4000004827976,"none",81,0,"organic, herbaceous material & marl",NA,"depression & till plain & outwash plain & lake plain","yes","no",0,"M2 Mucky Depression"
160197,"111C",89.6441961252559,"111C",89.6441961252559,100,"Edwards",237863,119308,"5cpn","Edwards muck, drained",17.8538335800171,TRUE,100,"histosols","limnic haplosaprists","Marly, euic, mesic Limnic Haplosaprists","very poorly",0.5,0,250,0,0,0,0,65,20.0000002980232,7.59999990463257,0,6.9,30.82,8.28,36.02,32.4000004827976,"none",81,0,"organic, herbaceous material & marl",NA,"depression & till plain & outwash plain & lake plain","yes","no",0,"M2 Mucky Depression"
160197,"98",2.65226413418605,"98",89.6441961252559,2.95865683315422,"Edwards",237863,119308,"5cpn","Edwards muck, drained",17.8538335800171,TRUE,100,"histosols","limnic haplosaprists","Marly, euic, mesic Limnic Haplosaprists","very poorly",0.5,0,250,0,0,0,0,65,20.0000002980232,7.59999990463257,0,6.9,30.82,8.28,36.02,32.4000004827976,"none",81,0,"organic, herbaceous material & marl",NA,"depression & till plain & outwash plain & lake plain","yes","no",0,"M2 Mucky Depression"
160201,"111B",13.9386485745283,"111B",68.4757598264605,20.3555953374644,"Histosols",237869,119312,"5cps","Histosols, ponded",17.6681815638687,TRUE,100,"histosols",NA,"Histosols","very poorly",1,250,250,0,0,0,0,65,0,6.5,0,0,0,0,65,0,"none",152,0,"organic, herbaceous material",NA,"depression","yes","no",0,"M2 Mucky Depression"
160201,"111C",68.4757598264605,"111C",68.4757598264605,100,"Histosols",237869,119312,"5cps","Histosols, ponded",17.6681815638687,TRUE,100,"histosols",NA,"Histosols","very poorly",1,250,250,0,0,0,0,65,0,6.5,0,0,0,0,65,0,"none",152,0,"organic, herbaceous material",NA,"depression","yes","no",0,"M2 Mucky Depression"
