"compname","MLRARSYM","Count","total","percentmlra","ctotal","affinity"
"Alden","124",3601,127505241,0.0028241976343545,3.20658347502945,0.09
"Alden","141",42368,9138474,0.463622263410718,3.20658347502945,14.46
"Alden","142",6989,51240559,0.0136395857820365,3.20658347502945,0.43
"Alden","101",51439,72267250,0.0711788534917269,3.20658347502945,2.22
"Alden","144B",9554,331949767,0.00287814631904833,3.20658347502945,0.09
"Alden","147",1301,177749021,0.000731930894854268,3.20658347502945,0.02
"Alden","144A",566361,194998048,0.290444445884915,3.20658347502945,9.06
"Alden","127",11095,183662793,0.00604096225412406,3.20658347502945,0.19
"Alden","140",399806,203269067,0.196688067643858,3.20658347502945,6.13
"Alden","139",1844927,85510805,2.15753669960188,3.20658347502945,67.28
"Alden","126",20,164009984,1.21943795811845e-05,3.20658347502945,0
"Alden","143",3920,493943103,0.000793613672544791,3.20658347502945,0.02
"Alden","148",21,99448051,2.11165526009152e-05,3.20658347502945,0
"Alden","149B",35,20420367,0.000171397507204449,3.20658347502945,0.01
"Aldino","149A",5530,31149224,0.0177532512527439,0.0452902413944612,39.2
"Aldino","148",27385,99448051,0.0275369901417173,0.0452902413944612,60.8
"Alexandria","139",2804,85510805,0.00327911776763182,0.910446630969956,0.36
"Alexandria","111E",251751,29389481,0.856602401382998,0.910446630969956,94.09
"Alexandria","99",2737,107369567,0.00254913945960125,0.910446630969956,0.28
"Alexandria","111B",6551,91807049,0.00713561765829114,0.910446630969956,0.78
"Alexandria","111A",27247,103233144,0.0263936551230097,0.910446630969956,2.9
"Alexandria","124",15842,127505241,0.0124245873155912,0.910446630969956,1.36
"Alexandria","114A",515,24974392,0.00206211226283307,0.910446630969956,0.23
"Alfic Haplorthods","96",119441,44104308,0.270814814734198,0.81454889148326,33.25
"Alfic Haplorthods","94A",341937,91610663,0.373250218699978,0.81454889148326,45.82
"Alfic Haplorthods","94C",57427,33684714,0.170483858049084,0.81454889148326,20.93
"Alfic Oxyaquic Haplorthods","94A",207,91610663,0.000225956229571224,0.00943820823905746,2.39
"Alfic Oxyaquic Haplorthods","96",4063,44104308,0.00921225200948624,0.00943820823905746,97.61
"Alfic Udarents","122",19392,192403601,0.0100788134417505,1.10643678148382,0.91
"Alfic Udarents","121",757136,119946350,0.631228878577798,1.10643678148382,57.05
"Alfic Udarents","124",1071,127505241,0.000839965472478108,1.10643678148382,0.08
"Alfic Udarents","114A",3432,24974392,0.0137420762835788,1.10643678148382,1.24
"Alfic Udarents","111B",5573,91807049,0.00607033998010327,1.10643678148382,0.55
"Alfic Udarents","111D",36355,41553717,0.0874891649283745,1.10643678148382,7.91
"Alfic Udarents","134",38122,10678804,0.356987542799737,1.10643678148382,32.26
"Alfic Udipsamments","96",1635,44104308,0.00370712085540487,0.00370712085540487,100
"Alford","114A",238893,24974392,0.9565518151553,9.35779112814218,10.22
"Alford","108",17878,51640704,0.0346199772954296,9.35779112814218,0.37
"Alford","110",90,56520334,0.000159234727806102,9.35779112814218,0
"Alford","113",9956,28309658,0.0351682100857594,9.35779112814218,0.38
"Alford","134",28686,10678804,0.268625587659442,9.35779112814218,2.87
"Alford","111A",2061,103233144,0.00199645183721228,9.35779112814218,0.02
"Alford","111D",218079,41553717,0.524812256867418,9.35779112814218,5.61
"Alford","115",1456274,33107001,4.39868896611928,9.35779112814218,47.01
"Alford","121",4036,119946350,0.00336483769618667,9.35779112814218,0.04
"Alford","126",2361,164009984,0.00143954650955883,9.35779112814218,0.02
"Alford","120B",101994,24321372,0.419359565735025,9.35779112814218,4.48
"Alford","124",172550,127505241,0.135327770565917,9.35779112814218,1.45
"Alford","111E",21569,29389481,0.073390203794344,9.35779112814218,0.78
"Alford","120C",2404,9696412,0.0247926758887721,9.35779112814218,0.26
"Alford","122",110027,192403601,0.0571855201400311,9.35779112814218,0.61
"Alford","120A",2547288,105159520,2.4223085080647,9.35779112814218,25.89
"Algansee","98",190399,175031822,0.108779648080222,0.955700109623604,11.38
"Algansee","99",15417,107369567,0.0143588173360148,0.955700109623604,1.5
"Algansee","97",177846,34895370,0.509655005807361,0.955700109623604,53.33
"Algansee","94A",18521,91610663,0.020217078878689,0.955700109623604,2.12
"Algansee","111C",2119,28641418,0.00739837671444898,0.955700109623604,0.77
"Algansee","96",129982,44104308,0.294714974328585,0.955700109623604,30.84
"Algansee","111B",529,91807049,0.000576208478283623,0.955700109623604,0.06
"Algiers","121",13719,119946350,0.0114376135663986,0.901328314613117,1.27
"Algiers","114B",4145,52719090,0.00786242706389659,0.901328314613117,0.87
"Algiers","114A",43991,24974392,0.176144428260756,0.901328314613117,19.54
"Algiers","111D",71915,41553717,0.173065143606768,0.901328314613117,19.2
"Algiers","111B",53294,91807049,0.0580500087743807,0.901328314613117,6.44
"Algiers","99",1246,107369567,0.00116047781025325,0.901328314613117,0.13
"Algiers","124",5680,127505241,0.00445471884563553,0.901328314613117,0.49
"Algiers","115",8268,33107001,0.0249735697896647,0.901328314613117,2.77
"Algiers","120B",1615,24321372,0.0066402503937689,0.901328314613117,0.74
"Algiers","139",5937,85510805,0.00694298223481816,0.901328314613117,0.77
"Algiers","111A",266072,103233144,0.25773892927256,0.901328314613117,28.6
"Algiers","111E",50802,29389481,0.172857764994217,0.901328314613117,19.18
"Algonquin","94C",285948,33684714,0.84889543666602,1.16922657623362,72.6
"Algonquin","96",2975,44104308,0.00674537281029327,1.16922657623362,0.58
"Algonquin","94A",287278,91610663,0.313585766757304,1.16922657623362,26.82
"Algood","123",6182,41335991,0.014955489999018,0.137340657585284,10.89
"Algood","122",132252,192403601,0.0687367592459977,0.137340657585284,50.05
"Algood","125",38723,72179215,0.053648408340268,0.137340657585284,39.06
"Alida","98",32297,175031822,0.0184520732464294,0.0525400601263238,35.12
"Alida","110",11505,56520334,0.0203555060378801,0.0525400601263238,38.74
"Alida","97",4792,34895370,0.0137324808420143,0.0525400601263238,26.14
"Allagash","143",799192,493943103,0.161798392395004,1.68476917647183,9.6
"Allagash","142",8302,51240559,0.0162020090374112,1.68476917647183,0.96
"Allagash","144A",138393,194998048,0.0709714796734786,1.68476917647183,4.21
"Allagash","144B",833559,331949767,0.251109981950974,1.68476917647183,14.9
"Allagash","146",319569,26974966,1.18468731341496,1.68476917647183,70.32
"Allard","144A",4745,194998048,0.00243335769186777,0.147181971015284,1.65
"Allard","101",6637,72267250,0.00918396645783533,0.147181971015284,6.24
"Allard","140",144969,203269067,0.0713187707994941,0.147181971015284,48.46
"Allard","139",53228,85510805,0.0622471043279267,0.147181971015284,42.29
"Allard","127",3671,183662793,0.00199877173816038,0.147181971015284,1.36
"Allard Variant","140",904,203269067,0.00044473072727785,0.00168434015441399,26.4
"Allard Variant","139",1060,85510805,0.00123960942713614,0.00168434015441399,73.6
"Allegheny","128",6580,4516193,0.145697936292802,2.31675083300902,6.29
"Allegheny","126",601121,164009984,0.366514882411061,2.31675083300902,15.82
"Allegheny","125",266679,72179215,0.369467858579509,2.31675083300902,15.95
"Allegheny","130A",4299,11575167,0.0371398529282558,2.31675083300902,1.6
"Allegheny","120A",261264,105159520,0.248445409412291,2.31675083300902,10.72
"Allegheny","122",65258,192403601,0.0339172446153957,2.31675083300902,1.46
"Allegheny","148",4884,99448051,0.00491110680489857,2.31675083300902,0.21
"Allegheny","124",721830,127505241,0.566117905694559,2.31675083300902,24.44
"Allegheny","127",126735,183662793,0.0690041776725022,2.31675083300902,2.98
"Allegheny","121",376121,119946350,0.313574360537023,2.31675083300902,13.54
"Allegheny","139",30582,85510805,0.0357639014157334,2.31675083300902,1.54
"Allegheny","114A",64,24974392,0.000256262494798672,2.31675083300902,0.01
"Allegheny","147",223857,177749021,0.125939934150186,2.31675083300902,5.44
"Allegheny Variant","124",670,127505241,0.000525468596228135,0.00141443886769649,37.15
"Allegheny Variant","126",1458,164009984,0.000888970271468351,0.00141443886769649,62.85
"Allen","125",101990,72179215,0.141301065687678,0.338593146988196,41.73
"Allen","122",374598,192403601,0.194693861265102,0.338593146988196,57.5
"Allen","123",1074,41335991,0.00259822003541659,0.338593146988196,0.77
"Allendale","94A",700935,91610663,0.765123815335776,2.97800279041673,25.69
"Allendale","99",578276,107369567,0.538584643821838,2.97800279041673,18.09
"Allendale","97",87458,34895370,0.250629238205527,2.97800279041673,8.42
"Allendale","96",69892,44104308,0.158469780321686,2.97800279041673,5.32
"Allendale","94C",417645,33684714,1.23986506164191,2.97800279041673,41.63
"Allendale","98",44336,175031822,0.0253302510899989,2.97800279041673,0.85
"Allenwood","140",14312,203269067,0.00704091390354047,0.53002571896243,1.33
"Allenwood","147",927748,177749021,0.521942677816493,0.53002571896243,98.47
"Allenwood","127",1914,183662793,0.00104212724239689,0.53002571896243,0.2
"Allenwoood","140",20,203269067,9.83917538225332e-06,0.0712690847541078,0.01
"Allenwoood","147",125629,177749021,0.0706777451111812,0.0712690847541078,99.17
"Allenwoood","127",1068,183662793,0.000581500467544344,0.0712690847541078,0.82
"Allis","143",17,493943103,3.44169194726057e-06,0.341446215672775,0
"Allis","99",3523,107369567,0.00328119046992152,0.341446215672775,0.96
"Allis","139",186482,85510805,0.218080042633209,0.341446215672775,63.87
"Allis","147",10983,177749021,0.0061789369855376,0.341446215672775,1.81
"Allis","101",16838,72267250,0.0232996274245941,0.341446215672775,6.82
"Allis","111E",14,29389481,4.76360912940246e-05,0.341446215672775,0.01
"Allis","142",1589,51240559,0.00310105906533924,0.341446215672775,0.91
"Allis","141",6481,9138474,0.0709199369610287,0.341446215672775,20.77
"Allis","111B",277,91807049,0.000301719751388589,0.341446215672775,0.09
"Allis","144A",9994,194998048,0.00512517950948924,0.341446215672775,1.5
"Allis","140",22578,203269067,0.0111074450890258,0.341446215672775,3.25
"Allison","108",5251,51640704,0.0101683354278052,0.33722914364171,3.02
"Allison","120A",99569,105159520,0.094683771854417,0.33722914364171,28.08
"Allison","115",64355,33107001,0.194384867418224,0.33722914364171,57.64
"Allison","111D",12678,41553717,0.0305099060091303,0.33722914364171,9.05
"Allison","110",4229,56520334,0.00748226293213342,0.33722914364171,2.22
"Allison Variant","111B",6513,91807049,0.00709422650106094,0.0101562275963681,69.85
"Allison Variant","111A",3161,103233144,0.00306200109530714,0.0101562275963681,30.15
"Alloway","149A",1428,31149224,0.00458438386779716,0.00458438386779716,100
"Alluvial Land","94C",22033,33684714,0.065409491082513,0.21377949472796,30.6
"Alluvial Land","98",15554,175031822,0.00888638409991527,0.21377949472796,4.16
"Alluvial Land","121",3776,119946350,0.00314807411813698,0.21377949472796,1.47
"Alluvial Land","96",2663,44104308,0.00603795892228941,0.21377949472796,2.82
"Alluvial Land","127",19312,183662793,0.0105149223120003,0.21377949472796,4.92
"Alluvial Land","94A",1954,91610663,0.00213293948107329,0.21377949472796,1
"Alluvial Land","99",126320,107369567,0.117649724712031,0.21377949472796,55.03
"Almaville","123",2923,41335991,0.00707131951910866,0.00707131951910866,100
"Almo","133C",8175,7084876,0.115386634854301,0.115386634854301,100
"Almond","140",619659,203269067,0.304846678909585,0.305934260765469,99.64
"Almond","139",930,85510805,0.00108758185588359,0.305934260765469,0.36
"Alonzville","130A",1569,11575167,0.0135548800289447,0.149293990615599,9.08
"Alonzville","127",1418,183662793,0.000772067100166554,0.149293990615599,0.52
"Alonzville","147",35407,177749021,0.0199196596418947,0.149293990615599,13.34
"Alonzville","128",5185,4516193,0.114809088096988,0.149293990615599,76.9
"Alonzville","125",172,72179215,0.000238295747605457,0.149293990615599,0.16
"Alpena","94C",215531,33684714,0.639848092520542,0.801707082543205,79.81
"Alpena","94A",5047,91610663,0.00550918401278244,0.801707082543205,0.69
"Alpena","96",68957,44104308,0.15634980600988,0.801707082543205,19.5
"Alstad","94A",30543,91610663,0.0333400054096323,0.0818308431231423,40.74
"Alstad","94C",16334,33684714,0.0484908377135101,0.0818308431231423,59.26
"Altavista","148",3923,99448051,0.00394477313587573,0.00394477313587573,100
"Alticrest","125",1201445,72179215,1.66453043303394,1.83393820132525,90.76
"Alticrest","124",177788,127505241,0.13943583699434,1.83393820132525,7.6
"Alticrest","127",2923,183662793,0.00159150362044206,1.83393820132525,0.09
"Alticrest","147",40487,177749021,0.0227776219369445,1.83393820132525,1.24
"Alticrest","122",10780,192403601,0.00560280573958696,1.83393820132525,0.31
"Altmar","101",9825,72267250,0.0135953699635727,0.0586568175746429,23.18
"Altmar","99",3216,107369567,0.00299526214909668,0.0586568175746429,5.11
"Altmar","96",18553,44104308,0.0420661854619735,0.0586568175746429,71.72
"Alton","148",16453,99448051,0.0165443161877552,1.53796933341049,1.08
"Alton","124",7550,127505241,0.00592132522615286,1.53796933341049,0.39
"Alton","149A",22309,31149224,0.0716197616993605,1.53796933341049,4.66
"Alton","141",71359,9138474,0.780863413300733,1.53796933341049,50.77
"Alton","101",364151,72267250,0.503894917822388,1.53796933341049,32.76
"Alton","147",2399,177749021,0.00134965581610714,1.53796933341049,0.09
"Alton","127",4593,183662793,0.0025007786960966,1.53796933341049,0.16
"Alton","144A",3482,194998048,0.00178565890054448,1.53796933341049,0.12
"Alton","140",229817,203269067,0.113060488441166,1.53796933341049,7.35
"Alton","143",13287,493943103,0.00268998593548537,1.53796933341049,0.17
"Alton","139",29716,85510805,0.0347511639026203,1.53796933341049,2.26
"Alton","142",1531,51240559,0.00298786748208582,1.53796933341049,0.19
"Alvada","111B",10938,91807049,0.0119141178364202,0.0285771262659875,41.69
"Alvada","99",17891,107369567,0.0166630084295674,0.0285771262659875,58.31
"Alvin","108",10430,51640704,0.0201972459554386,1.50031873307581,1.35
"Alvin","98",5323,175031822,0.00304116128094696,1.50031873307581,0.2
"Alvin","111C",29379,28641418,0.10257522864266,1.50031873307581,6.84
"Alvin","121",129,119946350,0.000107548082955421,1.50031873307581,0.01
"Alvin","120B",29023,24321372,0.119331261410746,1.50031873307581,7.95
"Alvin","120A",19712,105159520,0.018744855434867,1.50031873307581,1.25
"Alvin","111A",24416,103233144,0.023651318805131,1.50031873307581,1.58
"Alvin","114A",37652,24974392,0.150762428971244,1.50031873307581,10.05
"Alvin","111D",3362,41553717,0.0080907322923723,1.50031873307581,0.54
"Alvin","110",17921,56520334,0.0317071728557018,1.50031873307581,2.11
"Alvin","122",13332,192403601,0.00692918424120347,1.50031873307581,0.46
"Alvin","96",9221,44104308,0.0209072546836014,1.50031873307581,1.39
"Alvin","134",1759,10678804,0.0164718820572042,1.50031873307581,1.1
"Alvin","114B",95634,52719090,0.181402979452035,1.50031873307581,12.09
"Alvin","120C",3479,9696412,0.0358792510054234,1.50031873307581,2.39
"Alvin","113",18896,28309658,0.0667475389494285,1.50031873307581,4.45
"Alvin","115",229687,33107001,0.693771688954853,1.50031873307581,46.24
"Alvira","127",6575,183662793,0.00357993031283152,1.99999082658849,0.18
"Alvira","139",1184820,85510805,1.3855792843957,1.99999082658849,69.28
"Alvira","130A",8900,11575167,0.0768887394885966,1.99999082658849,3.84
"Alvira","147",927670,177749021,0.521898795718262,1.99999082658849,26.1
"Alvira","124",4896,127505241,0.00383984215989992,1.99999082658849,0.19
"Alvira","148",38,99448051,3.8210904706418e-05,1.99999082658849,0
"Alvira","140",16599,203269067,0.00816602360850114,1.99999082658849,0.41
"Amanda","124",31276,127505241,0.0245291877845241,3.11701151969472,0.79
"Amanda","99",374,107369567,0.000348329615597686,3.11701151969472,0.01
"Amanda","111A",9418,103233144,0.00912303901157946,3.11701151969472,0.29
"Amanda","111B",339,91807049,0.000369252692132605,3.11701151969472,0.01
"Amanda","111E",886651,29389481,3.01689914156701,3.11701151969472,96.79
"Amanda","139",56217,85510805,0.0657425690238795,3.11701151969472,2.11
