"dmuiid"	"region"
177054	"r12"
177055	"r12"
302123	"r12"
177059	"r12"
177060	"r12"
177062	"r12"
177063	"r12"
177066	"r12"
177072	"r12"
177073	"r12"
177074	"r12"
178806	"r12"
177075	"r12"
177076	"r12"
177077	"r12"
177078	"r12"
177081	"r12"
177082	"r12"
178807	"r12"
177079	"r12"
177083	"r12"
177084	"r12"
177085	"r12"
177086	"r12"
177087	"r12"
177090	"r12"
177091	"r12"
177092	"r12"
177094	"r12"
177095	"r12"
177096	"r12"
177097	"r12"
177098	"r12"
177099	"r12"
177100	"r12"
177101	"r12"
302120	"r12"
150642	"r12"
177104	"r12"
177105	"r12"
146395	"r12"
146396	"r12"
146397	"r12"
146398	"r12"
146399	"r12"
146401	"r12"
146402	"r12"
146403	"r12"
804123	"r12"
826473	"r12"
146404	"r12"
146405	"r12"
146406	"r12"
146407	"r12"
146408	"r12"
146409	"r12"
826474	"r12"
146410	"r12"
146411	"r12"
146412	"r12"
146413	"r12"
146414	"r12"
146415	"r12"
146416	"r12"
146417	"r12"
146418	"r12"
146420	"r12"
146421	"r12"
146422	"r12"
146920	"r12"
146921	"r12"
146922	"r12"
146923	"r12"
146924	"r12"
146925	"r12"
146926	"r12"
146927	"r12"
146928	"r12"
146929	"r12"
146930	"r12"
634307	"r12"
146931	"r12"
634308	"r12"
146932	"r12"
634309	"r12"
146933	"r12"
634310	"r12"
146934	"r12"
634311	"r12"
146935	"r12"
146936	"r12"
146937	"r12"
146938	"r12"
146939	"r12"
146940	"r12"
146941	"r12"
146942	"r12"
146943	"r12"
146944	"r12"
146945	"r12"
146946	"r12"
146947	"r12"
146948	"r12"
146949	"r12"
146950	"r12"
146951	"r12"
146952	"r12"
146953	"r12"
146954	"r12"
146955	"r12"
146956	"r12"
146957	"r12"
146958	"r12"
146959	"r12"
146960	"r12"
146961	"r12"
146962	"r12"
146963	"r12"
146964	"r12"
146965	"r12"
146966	"r12"
634312	"r12"
146967	"r12"
634313	"r12"
146968	"r12"
634315	"r12"
146969	"r12"
634316	"r12"
146970	"r12"
634317	"r12"
146971	"r12"
146972	"r12"
634318	"r12"
146973	"r12"
634319	"r12"
146974	"r12"
146975	"r12"
146976	"r12"
146977	"r12"
146978	"r12"
146979	"r12"
146980	"r12"
146981	"r12"
146982	"r12"
146983	"r12"
146984	"r12"
146985	"r12"
146986	"r12"
146987	"r12"
146988	"r12"
146989	"r12"
146990	"r12"
146991	"r12"
146992	"r12"
146993	"r12"
146994	"r12"
146995	"r12"
146996	"r12"
146997	"r12"
146998	"r12"
146999	"r12"
147000	"r12"
147001	"r12"
147002	"r12"
147003	"r12"
147004	"r12"
147005	"r12"
147006	"r12"
147007	"r12"
147008	"r12"
147009	"r12"
147010	"r12"
147011	"r12"
147012	"r12"
147013	"r12"
147014	"r12"
147015	"r12"
147016	"r12"
147017	"r12"
147019	"r12"
147020	"r12"
147021	"r12"
147022	"r12"
147023	"r12"
147024	"r12"
147025	"r12"
147026	"r12"
147027	"r12"
147028	"r12"
147029	"r12"
147030	"r12"
147031	"r12"
147032	"r12"
147033	"r12"
147034	"r12"
147035	"r12"
147036	"r12"
147037	"r12"
147038	"r12"
147039	"r12"
147040	"r12"
147041	"r12"
147042	"r12"
147043	"r12"
147044	"r12"
147045	"r12"
147046	"r12"
147047	"r12"
147048	"r12"
147049	"r12"
147050	"r12"
147051	"r12"
147052	"r12"
147053	"r12"
147054	"r12"
147055	"r12"
147056	"r12"
147057	"r12"
147058	"r12"
147059	"r12"
147060	"r12"
147061	"r12"
147062	"r12"
147063	"r12"
147064	"r12"
147065	"r12"
147066	"r12"
147067	"r12"
634322	"r12"
147068	"r12"
634323	"r12"
634324	"r12"
634325	"r12"
147072	"r12"
634326	"r12"
147073	"r12"
147074	"r12"
634328	"r12"
147075	"r12"
634329	"r12"
147076	"r12"
634330	"r12"
147077	"r12"
634331	"r12"
147078	"r12"
147079	"r12"
147080	"r12"
147081	"r12"
147082	"r12"
147083	"r12"
147084	"r12"
147085	"r12"
147086	"r12"
147087	"r12"
452174	"r12"
147088	"r12"
147089	"r12"
147090	"r12"
147091	"r12"
147092	"r12"
147093	"r12"
147094	"r12"
147095	"r12"
147096	"r12"
147097	"r12"
634332	"r12"
147098	"r12"
147099	"r12"
634333	"r12"
147100	"r12"
634334	"r12"
147101	"r12"
634335	"r12"
147102	"r12"
147103	"r12"
147104	"r12"
147105	"r12"
147106	"r12"
147107	"r12"
147108	"r12"
147109	"r12"
147110	"r12"
147111	"r12"
452175	"r12"
406528	"r12"
147112	"r12"
147113	"r12"
147114	"r12"
147115	"r12"
147116	"r12"
147117	"r12"
147118	"r12"
167955	"r12"
167956	"r12"
167957	"r12"
167958	"r12"
167959	"r12"
167960	"r12"
167964	"r12"
167965	"r12"
167966	"r12"
167967	"r12"
167968	"r12"
167969	"r12"
167972	"r12"
167973	"r12"
167974	"r12"
167975	"r12"
167976	"r12"
167980	"r12"
167981	"r12"
167982	"r12"
167983	"r12"
167984	"r12"
167985	"r12"
167986	"r12"
167987	"r12"
167988	"r12"
167989	"r12"
167990	"r12"
167991	"r12"
167992	"r12"
167993	"r12"
167994	"r12"
167995	"r12"
167996	"r12"
167997	"r12"
178707	"r12"
167998	"r12"
167999	"r12"
168000	"r12"
168001	"r12"
168002	"r12"
168003	"r12"
168004	"r12"
168008	"r12"
168015	"r12"
168016	"r12"
168017	"r12"
168018	"r12"
168019	"r12"
168020	"r12"
168021	"r12"
168023	"r12"
168024	"r12"
168025	"r12"
168026	"r12"
168029	"r12"
168030	"r12"
168031	"r12"
168035	"r12"
168036	"r12"
168037	"r12"
168038	"r12"
168040	"r12"
168041	"r12"
168042	"r12"
168043	"r12"
168044	"r12"
168045	"r12"
168046	"r12"
168047	"r12"
168048	"r12"
168049	"r12"
168050	"r12"
168051	"r12"
168052	"r12"
168053	"r12"
168059	"r12"
168060	"r12"
168061	"r12"
168062	"r12"
168063	"r12"
168064	"r12"
168065	"r12"
168066	"r12"
168067	"r12"
168068	"r12"
168069	"r12"
168070	"r12"
168071	"r12"
168072	"r12"
168073	"r12"
168074	"r12"
168075	"r12"
168076	"r12"
168077	"r12"
168078	"r12"
168079	"r12"
168080	"r12"
168084	"r12"
168086	"r12"
143821	"r12"
143822	"r12"
143823	"r12"
143824	"r12"
143825	"r12"
143826	"r12"
143828	"r12"
143830	"r12"
143831	"r12"
143832	"r12"
143833	"r12"
143834	"r12"
143835	"r12"
143836	"r12"
143841	"r12"
143842	"r12"
143847	"r12"
143848	"r12"
143850	"r12"
143851	"r12"
143858	"r12"
143859	"r12"
143860	"r12"
143864	"r12"
143866	"r12"
143867	"r12"
143869	"r12"
143870	"r12"
143871	"r12"
143875	"r12"
143876	"r12"
143877	"r12"
143878	"r12"
143879	"r12"
143880	"r12"
143881	"r12"
143882	"r12"
143883	"r12"
143884	"r12"
143885	"r12"
143886	"r12"
143887	"r12"
143888	"r12"
143889	"r12"
143890	"r12"
143891	"r12"
143892	"r12"
552571	"r12"
552567	"r12"
552574	"r12"
552592	"r12"
552598	"r12"
552596	"r12"
552584	"r12"
552570	"r12"
144291	"r12"
552605	"r12"
552604	"r12"
552566	"r12"
144296	"r12"
552594	"r12"
552600	"r12"
552601	"r12"
552602	"r12"
552569	"r12"
552597	"r12"
552595	"r12"
552577	"r12"
552593	"r12"
552568	"r12"
365601	"r12"
143894	"r12"
143895	"r12"
143896	"r12"
143900	"r12"
143901	"r12"
143902	"r12"
143907	"r12"
143908	"r12"
143909	"r12"
143910	"r12"
143912	"r12"
143913	"r12"
143914	"r12"
143915	"r12"
143916	"r12"
143917	"r12"
143918	"r12"
143919	"r12"
143920	"r12"
143921	"r12"
143923	"r12"
143925	"r12"
143926	"r12"
143927	"r12"
143928	"r12"
143929	"r12"
143930	"r12"
143931	"r12"
143932	"r12"
143933	"r12"
143934	"r12"
143935	"r12"
143936	"r12"
143937	"r12"
143938	"r12"
143940	"r12"
143942	"r12"
143943	"r12"
143944	"r12"
143946	"r12"
143947	"r12"
143948	"r12"
143950	"r12"
143951	"r12"
143952	"r12"
143953	"r12"
143954	"r12"
143955	"r12"
143956	"r12"
143957	"r12"
143958	"r12"
143959	"r12"
143960	"r12"
143961	"r12"
143962	"r12"
143963	"r12"
143964	"r12"
143965	"r12"
143966	"r12"
143967	"r12"
143968	"r12"
143969	"r12"
143970	"r12"
422773	"r12"
143971	"r12"
144708	"r12"
144709	"r12"
144713	"r12"
144714	"r12"
144716	"r12"
144717	"r12"
144718	"r12"
144719	"r12"
144720	"r12"
144721	"r12"
144723	"r12"
144726	"r12"
144728	"r12"
144731	"r12"
144733	"r12"
144734	"r12"
144735	"r12"
144737	"r12"
144738	"r12"
144739	"r12"
144740	"r12"
144741	"r12"
144742	"r12"
144743	"r12"
144744	"r12"
144745	"r12"
152449	"r12"
152443	"r12"
144746	"r12"
146488	"r12"
146492	"r12"
146496	"r12"
146497	"r12"
146498	"r12"
146503	"r12"
146504	"r12"
146505	"r12"
146506	"r12"
146507	"r12"
146508	"r12"
146509	"r12"
146510	"r12"
146514	"r12"
146515	"r12"
146516	"r12"
146517	"r12"
146518	"r12"
146519	"r12"
146520	"r12"
146521	"r12"
146522	"r12"
146523	"r12"
146524	"r12"
146525	"r12"
146526	"r12"
146527	"r12"
146528	"r12"
146529	"r12"
146530	"r12"
146531	"r12"
146532	"r12"
146533	"r12"
146534	"r12"
146537	"r12"
146540	"r12"
146541	"r12"
146542	"r12"
146543	"r12"
146544	"r12"
146545	"r12"
146546	"r12"
146547	"r12"
146548	"r12"
146549	"r12"
146551	"r12"
146552	"r12"
146553	"r12"
146554	"r12"
146555	"r12"
146556	"r12"
146557	"r12"
146558	"r12"
144662	"r12"
144663	"r12"
144664	"r12"
144674	"r12"
144676	"r12"
144677	"r12"
144678	"r12"
144679	"r12"
144682	"r12"
144684	"r12"
144685	"r12"
144686	"r12"
144687	"r12"
144688	"r12"
144690	"r12"
144691	"r12"
144692	"r12"
144694	"r12"
144695	"r12"
144696	"r12"
144701	"r12"
144702	"r12"
144703	"r12"
144704	"r12"
144706	"r12"
144707	"r12"
148374	"r12"
148375	"r12"
148376	"r12"
148377	"r12"
168892	"r12"
168893	"r12"
168894	"r12"
168895	"r12"
168896	"r12"
176911	"r12"
148378	"r12"
168897	"r12"
168898	"r12"
168899	"r12"
168900	"r12"
148379	"r12"
168903	"r12"
168904	"r12"
168905	"r12"
168906	"r12"
148380	"r12"
168907	"r12"
148381	"r12"
148382	"r12"
148383	"r12"
148384	"r12"
148385	"r12"
168908	"r12"
148386	"r12"
168909	"r12"
168910	"r12"
168911	"r12"
168912	"r12"
148387	"r12"
148388	"r12"
168913	"r12"
148389	"r12"
168914	"r12"
148390	"r12"
168915	"r12"
148391	"r12"
168916	"r12"
148392	"r12"
463162	"r12"
168917	"r12"
168918	"r12"
461227	"r12"
461220	"r12"
461221	"r12"
461224	"r12"
148393	"r12"
148394	"r12"
148395	"r12"
148396	"r12"
168919	"r12"
405018	"r12"
168920	"r12"
148397	"r12"
168921	"r12"
168922	"r12"
176922	"r12"
168923	"r12"
168924	"r12"
168925	"r12"
168926	"r12"
404324	"r12"
168927	"r12"
168928	"r12"
168929	"r12"
176924	"r12"
176925	"r12"
176926	"r12"
168930	"r12"
168931	"r12"
148398	"r12"
168932	"r12"
168933	"r12"
168934	"r12"
168935	"r12"
176929	"r12"
148399	"r12"
176930	"r12"
168936	"r12"
148400	"r12"
168938	"r12"
168939	"r12"
168940	"r12"
168941	"r12"
168942	"r12"
168943	"r12"
168944	"r12"
168945	"r12"
168946	"r12"
168947	"r12"
168948	"r12"
168949	"r12"
168950	"r12"
168951	"r12"
461264	"r12"
168952	"r12"
168953	"r12"
168954	"r12"
168955	"r12"
168956	"r12"
168957	"r12"
148402	"r12"
168958	"r12"
148403	"r12"
148404	"r12"
148405	"r12"
168959	"r12"
148406	"r12"
148407	"r12"
168960	"r12"
148408	"r12"
148409	"r12"
148410	"r12"
148411	"r12"
168961	"r12"
168962	"r12"
148412	"r12"
148413	"r12"
148414	"r12"
148415	"r12"
148416	"r12"
148417	"r12"
148418	"r12"
148419	"r12"
148420	"r12"
148421	"r12"
148422	"r12"
148423	"r12"
148424	"r12"
148425	"r12"
148426	"r12"
148427	"r12"
148428	"r12"
148429	"r12"
148430	"r12"
148431	"r12"
168966	"r12"
168967	"r12"
168968	"r12"
168969	"r12"
168970	"r12"
168971	"r12"
404345	"r12"
404752	"r12"
404754	"r12"
176947	"r12"
168972	"r12"
168973	"r12"
168974	"r12"
168975	"r12"
168976	"r12"
148432	"r12"
148433	"r12"
168977	"r12"
404757	"r12"
404758	"r12"
168978	"r12"
176971	"r12"
176972	"r12"
168979	"r12"
461242	"r12"
461243	"r12"
168982	"r12"
168983	"r12"
148434	"r12"
168984	"r12"
168985	"r12"
168986	"r12"
168987	"r12"
168988	"r12"
168989	"r12"
148435	"r12"
168990	"r12"
148436	"r12"
176973	"r12"
176974	"r12"
148437	"r12"
148438	"r12"
148439	"r12"
148440	"r12"
148441	"r12"
148442	"r12"
148443	"r12"
148444	"r12"
176976	"r12"
