compname	taxsubgrp	Bhs
Madawaska	Aquic Haplorthods	No
Mancelona	Alfic Haplorthods	no
Manido	Lamellic Oxyaquic Haplorthods	yes
Manistee	Alfic Haplorthods	no
Mapleton	Lithic Haplorthods	No
Marlow	Oxyaquic Haplorthods	no
Masardis	Typic Haplorthods	No
Masardis variant	Typic Haplorthods	No
Mashpee	Typic Endoaquods	yes
Massasoit	Typic Duraquods	yes
Mattapoisett	Typic Duraquods	yes
Mattix	Oxyaquic Haplorthods	yes
McBride	Alfic Fragiorthods	yes
Mcivor	Typic Duraquods	yes
Melita	Alfic Haplorthods	yes
Melrose	Entic Haplorthods	no
Menominee	Alfic Haplorthods	no
Merrimac	Typic Haplorthods	No
Metea	Alfic Haplorthods	No
Millecoquins	Alfic Oxyaquic Haplorthods	yes
Milnichol	Typic Epiaquods	yes
Missisquoi	Entic Haplorthods	no
Moira	Aquic Fragiorthods	No
Mollineaux	Lamellic Haplorthods	no
Monadnock	Typic Haplorthods	yes
Monson	Lithic Haplorthods	yes
Montcalm	Alfic Haplorthods	no
Morganlake	Alfic Oxyaquic Haplorthods	no
Mundal	Aquic Haplorthods	yes
Mundal	Oxyaquic Haplorthods	yes
Mundal	Typic Haplorthods	yes
Mundalite	Oxyaquic Haplorthods	yes
Mundalite	Typic Haplorthods	yes
Naskeag	Typic Endoaquods	yes
Naumburg	Aeric Haplaquods	yes
Naumburg	Typic Endoaquods	yes
Neconish	Oxyaquic Haplorthods	no
Nessen	Typic Haplorthods	yes
Newaygo	Alfic Haplorthods	no
Nicholville	Aquic Haplorthods	no
Ninigret	Aquic Haplorthods	yes
Northway	Typic Epiaquods	No
Occur	Aquentic Haplorthods	No
Ocqueoc	Entic Haplorthods	no
Ogemaw	Aquic Haplorthods	No
Ogemaw	Typic Durorthods	No
Oldman	Alfic Oxyaquic Fragiorthods	yes
Otisco	Alfic Haplaquods	no
Otisco	Argic Endoaquods	no
Oxyaquic Haplorthods	Oxyaquic Haplorthods	n
Paquin	Typic Durorthods	yes
Parishville	Typic Fragiorthods	No
Paxton	Entic Fragiorthods	No
Paxton	Oxyaquic Haplorthods	No
Paxton	Typic Haplorthods	No
Pence	Typic Haplorthods	yes
Penquis	Typic Haplorthods	No
Perham	Aquic Haplorthods	No
Perham	Typic Haplorthods	No
Peru	Aquic Fragiorthods	no
Peru	Aquic Haplorthods	no
Pipestone	Typic Endoaquods	yes
Plaisted	Oxyaquic Haplorthods	yes
Plaisted	Typic Haplorthods	yes
Pomfret	Entic Haplorthods	no
Potsdam	Typic Haplorthods	yes
Proper	Oxyaquic Haplorthods	no
Pullup	Typic Durorthods	no
Ragmuff	Aquic Haplorthods	no
Rainberry	Typic Endoaquods	yes
Rapson	Typic Endoaquods	yes
Rawsonville	Typic Haplohumods	yes
Rawsonville	Typic Haplorthods	yes
Redstone	Typic Haplorthods	yes
Richter	Alfic Haplaquods	no
Richter	Argic Endoaquods	no
Riggsville	Alfic Epiaquods	No
Rousseau	Entic Haplorthods	no
Rubicon	Alfic Haplorthods	no
Rubicon	Entic Haplorthods	no
Saddleback	Humic Lithic Cryorthods	yes
Saddleback	Lithic Humicryods	yes
Salmon	Typic Haplorthods	no
Sanilac	Alfic Haplaquods	No
Santanoni	Typic Humicryods	yes
Saugatuck	Aeric Haplaquods	yes
Saugatuck	Typic Duraquods	yes
Saugatuck	Typic Endoaquods	yes
Scio	Aquic Haplorthods	No
Scio	Typic Haplorthods	No
Searsport	Histic Endoaquods	No
Sheddenbrook	Aquentic Haplorthods	No
Sheepscot	Aquic Haplorthods	yes
Sheepscot	Typic Haplorthods	yes
Shoepac	Alfic Oxyaquic Haplorthods	no
Sisk	Humic Cryorthods	yes
Sisk	Oxyaquic Humicryods	yes
Sisk	Typic Humicryods	yes
Skeel	Alfic Oxyaquic Haplorthods	no
Skerry	Aquic Haplorthods	yes
Skowhegan	Aquic Haplorthods	No
Skylight	Lithic Cryorthods	yes
Skylight	Lithic Humicryods	yes
Southwells	Alfic Haplorthods	no
Spot	Typic Duraquods	yes
Springlake	Typic Haplorthods	yes
Squamscott	Aeric Alaquods	yes
Stetson	Typic Haplorthods	yes
Stockholm	Typic Epiaquods	yes
Stockholm	Typic Haplaquods	yes
Stowe	Entic Fragiorthods	no
Stratton	Humic Cryorthods	yes
Stratton	Humic Lithic Cryorthods	yes
Stratton	Lithic Humicryods	yes
Success	Typic Haplorthods	yes
Suffield	Entic Haplorthods	no
Sugar	Alfic Oxyaquic Haplorthods	no
Sunapee	Aquic Haplorthods	yes
Superior	Alfic Haplorthods	no
Surplus	Aquic Haplocryods	yes
Surplus	Typic Cryorthods	yes
Sutton	Aquic Haplorthods	No
Tacoda	Typic Epiaquods	no
Telos	Aquic Haplorthods	no
Thompsonville	Alfic Oxyaquic Haplorthods	no
Thorndike	Lithic Haplorthods	No
Trout River	Entic Haplorthods	no
Tunbridge	Typic Haplorthods	yes
Twining	Aqualfic Haplorthods	No
Typic Duraquods	Typic Duraquods	yes
Typic Endoaquods	Typic Endoaquods	yes
Typic Haplaquods	Typic Haplaquods	No
Typic Haplorthods	Typic Haplorthods	yes
Ubly	Alfic Haplorthods	no
Unnamed	Lithic Haplorthods	n
Velvet	Oxyaquic Fragiorthods	no
Vershire	Entic Haplorthods	no
Wainola	Typic Endoaquods	no
Waiska	Typic Haplorthods	yes
Wallace	Oxyaquic Haplorthods	yes
Wallace	Typic Durorthods	yes
Wallace	Typic Haplorthods	yes
Wallface	Andic Humicryods	yes
Waumbek	Aquic Haplorthods	yes
Westbury	Typic Fragiaquods	yes
Westminster	Lithic Haplorthods	No
Whittemore	Alfic Epiaquods	yes
Wilmington	Typic Endoaquods	yes
Wilmington	Typic Epiaquods	yes
Wilmington	Typic Haplaquods	yes
Windsor	Typic Haplorthods	No
Winnecook	Typic Haplorthods	yes
Wixom	Alfic Epiaquods	no
Wixom	Alfic Haplaquods	no
Woodbridge	Aquic Haplorthods	No
Woodstock	Entic Lithic Haplorthods	No
Woodstock	Typic Haplorthods	No
Worden	Aquic Haplorthods	yes
Worth	Typic Fragiorthods	yes
Endoaquods		
Fryeburg		no
Haplorthods		
Manitowish	Oxyaquic Haplorthods	no
Padus	Alfic Haplorthods	no
Pelissier	Entic Haplorthods	no
Sayner	Entic Haplorthods	no
Wormet	Typic Endoaquods	yes
