"coiid","SiteID","nationalmusym","muname"
239789,"F097XA027MI","94q9","Cohoctah sandy loam"
239789,"F098XB026IN","94q9","Cohoctah sandy loam"
891640,"F098XB026IN","94qj","Fluvaquents, loamy"
891640,"F097XB049IN","94qj","Fluvaquents, loamy"
891640,"F097XA027MI","94qj","Fluvaquents, loamy"
239802,"F097XA006MI","94ql","Hanna sandy loam, 0 to 3 percent slopes"
239802,"F098XB031IN","94ql","Hanna sandy loam, 0 to 3 percent slopes"
891732,"F097XA023MI","94qm","Histosols and Aquolls"
891718,"F098XB028IN","94qm","Histosols and Aquolls"
891718,"R097XB051IL","94qm","Histosols and Aquolls"
891732,"F098XB034IN","94qm","Histosols and Aquolls"
891718,"F097XA030MI","94qm","Histosols and Aquolls"
891732,"R097XB047IL","94qm","Histosols and Aquolls"
239806,"F098XB033IN","94qn","Homer loam"
239806,"F097XA022MI","94qn","Homer loam"
239822,"F097XA007MI","94r1","Newton loamy fine sand"
239822,"F098XB032IN","94r1","Newton loamy fine sand"
239823,"F097XA004MI","94r2","Oakville fine sand, 4 to 12 percent slopes"
239823,"F097XB033IN","94r2","Oakville fine sand, 4 to 12 percent slopes"
239825,"F097XA010MI","94r3","Oakville fine sand, 12 to 25 percent slopes"
239825,"F097XB040IN","94r3","Oakville fine sand, 12 to 25 percent slopes"
239826,"F098XB028IN","94r4","Palms muck, sandy substratum"
239826,"F097XA030MI","94r4","Palms muck, sandy substratum"
239827,"F097XA023MI","94r5","Pewamo silty clay loam"
239827,"R097XB047IL","94r5","Pewamo silty clay loam"
239828,"F097XA023MI","94r6","Pinhook loam"
239828,"F098XB034IN","94r6","Pinhook loam"
239838,"F097XA023MI","94rg","Sebewa loam, shaly sand substratum"
239838,"F098XB034IN","94rg","Sebewa loam, shaly sand substratum"
239838,"R097XB047IL","94rg","Sebewa loam, shaly sand substratum"
239842,"F097XB049IN","94rk","Suman silty clay loam"
239842,"F097XA027MI","94rk","Suman silty clay loam"
239842,"F098XB026IN","94rk","Suman silty clay loam"
239848,"F098XB033IN","94rr","Troxel silt loam"
239848,"F097XA022MI","94rr","Troxel silt loam"
239854,"F097XB033IN","94rw","Urban land-Oakville complex, 1 to 10 percent slopes"
239854,"F097XA004MI","94rw","Urban land-Oakville complex, 1 to 10 percent slopes"
239858,"F098XB034IN","94rz","Wallkill silt loam"
239858,"F097XA023MI","94rz","Wallkill silt loam"
239859,"F098XB026IN","94s0","Warners silt loam"
239859,"F097XA027MI","94s0","Warners silt loam"
239859,"F097XB049IN","94s0","Warners silt loam"
239860,"F097XA023MI","94s1","Washtenaw silt loam"
239860,"F098XB034IN","94s1","Washtenaw silt loam"
243743,"F098XB033IN","5dcw","Brady sandy loam"
243743,"F098XB033IN","nm23","Brady sandy loam, 0 to 1 percent slopes"
243743,"F098XB033IN","5g4w","Brady sandy loam"
243743,"F097XA022MI","nm23","Brady sandy loam, 0 to 1 percent slopes"
243743,"F098XB033IN","1v4lv","Brady sandy loam, 0 to 1 percent slopes"
243761,"F098XB033IN","5dd1","Crosier loam, 0 to 1 percent slopes"
243761,"F097XA022MI","6qfp","Crosier loam, 0 to 1 percent slopes"
243761,"F098XB033IN","1v4mt","Crosier loam, 0 to 1 percent slopes"
243761,"F098XB033IN","6qfp","Crosier loam, 0 to 1 percent slopes"
243761,"F098XB033IN","5g51","Crosier loam, 0 to 2 percent slopes"
243763,"F098XB033IN","6qfn","Crosier loam, 1 to 4 percent slopes"
243763,"F097XA022MI","6qfn","Crosier loam, 1 to 4 percent slopes"
243763,"F098XB033IN","5dd2","Crosier loam, 1 to 4 percent slopes"
243806,"F098XB028IN","94j4","Palms muck, drained, 0 to 1 percent slopes"
243806,"F098XB028IN","5dfg","Palms muck, drained"
243806,"F098XB028IN","n91r","Palms muck, drained, 0 to 1 percent slopes"
243806,"R097XB051IL","94j4","Palms muck, drained, 0 to 1 percent slopes"
243806,"F098XB028IN","1v4nc","Palms muck, drained, 0 to 1 percent slopes"
243828,"F097XA004MI","94rs","Tyner loamy sand, 0 to 2 percent slopes"
243828,"F098XB030IN","94rs","Tyner loamy sand, 0 to 2 percent slopes"
243828,"F097XA004MI","6qg4","Tyner loamy sand, 0 to 1 percent slopes"
243828,"F098XB030IN","2n8q7","Tyner loamy sand, 0 to 1 percent slopes"
243828,"F097XB033IN","94rs","Tyner loamy sand, 0 to 2 percent slopes"
243829,"F098XB030IN","nk6w","Tyner loamy sand, 1 to 5 percent slopes"
243829,"F097XA004MI","nk6w","Tyner loamy sand, 1 to 5 percent slopes"
243829,"F098XB030IN","1v4nm","Tyner loamy sand, 1 to 5 percent slopes"
899251,"F097XB035IN","94rx","Urban land-Morocco complex"
899251,"F097XA012MI","94rx","Urban land-Morocco complex"
899251,"F098XB033IN","nk2p","Urban land-Morocco complex, 0 to 1 percent slopes"
245088,"F099XY013MI","5msf","Condit silty clay loam"
245088,"F139XY011OH","1qwz1","Condit silty clay loam"
251530,"F139XY012OH","5s2q","Allis clay loam, 0 to 2 percent slopes"
251530,"F099XY013MI","5s2q","Allis clay loam, 0 to 2 percent slopes"
251531,"F139XY002OH","5s2r","Amanda loam, 12 to 18 percent slopes, eroded"
251531,"F099XY007MI","5s2r","Amanda loam, 12 to 18 percent slopes, eroded"
251536,"F139XY002OH","5s2v","Ogontz silt loam, 2 to 6 percent slopes"
251536,"F099XY007MI","5s2v","Ogontz silt loam, 2 to 6 percent slopes"
251539,"F139XY002OH","5s2y","Bennington loam, 0 to 2 percent slopes"
251539,"F099XY007MI","5s2y","Bennington loam, 0 to 2 percent slopes"
251542,"F139XY002OH","5s31","Bixler loamy fine sand, 0 to 2 percent slopes"
251542,"F099XY003MI","5s31","Bixler loamy fine sand, 0 to 2 percent slopes"
287868,"F099XY003MI","5s32","Bixler loamy fine sand, 2 to 6 percent slopes"
287868,"F139XY002OH","5s32","Bixler loamy fine sand, 2 to 6 percent slopes"
251547,"F099XY007MI","5s36","Cardington silty clay loam, 6 to 12 percent slopes, eroded"
251547,"F139XY002OH","5s36","Cardington silty clay loam, 6 to 12 percent slopes, eroded"
251551,"F139XY003OH","5s3b","Chili loam, loamy substratum, 2 to 6 percent slopes"
251551,"F099XY007MI","5s3b","Chili loam, loamy substratum, 2 to 6 percent slopes"
251552,"F139XY011OH","5s3c","Colwood loam, 0 to 1 percent slopes"
251552,"F099XY013MI","5s3c","Colwood loam, 0 to 1 percent slopes"
287869,"F139XY011OH","5s3d","Colwood silt loam, bedrock substratum, 0 to 1 percent slopes"
287869,"F099XY013MI","5s3d","Colwood silt loam, bedrock substratum, 0 to 1 percent slopes"
251555,"F099XY007MI","5s3g","Conotton loam, 2 to 6 percent slopes"
251555,"F139XY003OH","5s3g","Conotton loam, 2 to 6 percent slopes"
251556,"F139XY003OH","5s3h","Conotton gravelly loam, 6 to 12 percent slopes"
251556,"F099XY007MI","5s3h","Conotton gravelly loam, 6 to 12 percent slopes"
