"coiid","SiteID","nationalmusym","muname"
268291,"F096XB020MI","680d","Spinks-Metea-Coloma complex, 6 to 12 percent slopes"
268289,"F094AA006MI","680d","Spinks-Metea-Coloma complex, 6 to 12 percent slopes"
268290,"F094AA006MI","680d","Spinks-Metea-Coloma complex, 6 to 12 percent slopes"
268290,"F098XA013MI","680d","Spinks-Metea-Coloma complex, 6 to 12 percent slopes"
268290,"F097XA004MI","680d","Spinks-Metea-Coloma complex, 6 to 12 percent slopes"
268291,"F097XA004MI","680d","Spinks-Metea-Coloma complex, 6 to 12 percent slopes"
268290,"F096XB019MI","680d","Spinks-Metea-Coloma complex, 6 to 12 percent slopes"
268292,"F096XB019MI","680f","Spinks-Metea complex, 12 to 25 percent slopes"
268293,"F096XB019MI","680f","Spinks-Metea complex, 12 to 25 percent slopes"
268293,"F094AA006MI","680f","Spinks-Metea complex, 12 to 25 percent slopes"
268292,"F094AA006MI","680f","Spinks-Metea complex, 12 to 25 percent slopes"
268292,"F098XA021MI","680f","Spinks-Metea complex, 12 to 25 percent slopes"
268293,"F098XA021MI","680f","Spinks-Metea complex, 12 to 25 percent slopes"
268294,"F098XA017MI","680j","Covert sand, 0 to 4 percent slopes"
268294,"F096XB021MI","680j","Covert sand, 0 to 4 percent slopes"
268294,"F094AA007MI","680j","Covert sand, 0 to 4 percent slopes"
268294,"F097XA006MI","680j","Covert sand, 0 to 4 percent slopes"
268296,"F098XA020MI","680l","Granby mucky sand"
268296,"F096XB024MI","680l","Granby mucky sand"
268296,"F097XA008MI","680l","Granby mucky sand"
268297,"F097XA008MI","680m","Kingsville mucky sand"
268297,"F094AA010MI","680m","Kingsville mucky sand"
268297,"F098XA020MI","680m","Kingsville mucky sand"
268297,"F096XB024MI","680m","Kingsville mucky sand"
