"","muiid","LRU","ncnesoil30m","MLRA.value","MLRA.total","Value","Count","percentmlra","pmlra","mu.total","affinity","best","ofbest"
"896",163492,"111",163492,79,60797146,94586,8,1.31585124078028e-05,1.31585124078028e-05,0.0417436004145877,0.0315222268254668,99.9684777731745,0.0315321664665034
"908",163517,"111",163517,79,60797146,94468,3416,0.00561868479813181,0.00561868479813181,0.56379638306325,0.996580497307212,99.0034195026928,1.00661219815757
"935",163586,"111",163586,79,60797146,94539,891,0.00146552931941904,0.00146552931941904,0.070096101258472,2.09074298442798,97.909257015572,2.13538846903461
"941",163635,"111",163635,79,60797146,94533,339,0.000557591963280645,0.000557591963280645,0.0795106482996709,0.701279608712425,99.2987203912876,0.706232271623467
"948",163674,"111",163674,79,60797146,94687,6,9.86888430585212e-06,9.86888430585212e-06,0.0326659219421693,0.0302115590777559,99.9697884409222,0.0302206892191331
"953",163680,"111",163680,79,60797146,94469,4947,0.00813689511017507,0.00813689511017507,0.511559907290413,1.59060453999882,98.4093954600012,1.61631369907696
"955",163681,"111",163681,79,60797146,94488,1568,0.00257906843192935,0.00257906843192935,0.327627200869845,0.787196064637482,99.2128039353625,0.793442008906776
"957",163685,"111",163685,79,60797146,94465,2396,0.00394097446613695,0.00394097446613695,0.175326519111543,2.2477914271655,97.7522085728345,2.29947891713433
"974",163724,"111",163724,79,60797146,94505,593,0.000975374732228385,0.000975374732228385,0.031414222748843,3.10488258782181,96.8951174121782,3.2043746586467
"999",163789,"111",163789,79,60797146,94491,1382,0.00227313301844794,0.00227313301844794,0.0796991077370244,2.85214362242094,97.1478563775791,2.93587911125458
"1005",163800,"111",163800,79,60797146,94516,244,0.000401334628437986,0.000401334628437986,0.0416178548323151,0.964332808730835,99.0356671912692,0.973722736545415
"1007",163803,"111",163803,79,60797146,94494,1010,0.00166126219148511,0.00166126219148511,0.183237139940379,0.906618708426492,99.0933812915735,0.914913485249683
