"ES","MLRARSYM","Series","coiid","muname"
"F111BY102IN","111B","Latty",249975,"Latty silty clay, occasionally flooded"
"F111BY101IN","111B","Lenawee",243182,"Lenawee silty clay loam"
"F111BY101IN","111B","Lenawee",248068,"Lenawee silty clay loam"
"F111BY101IN","111B","Lenawee",243181,"Lenawee mucky silty clay loam"
"F111BY102IN","111B","Lenawee",243182,"Lenawee silty clay loam"
"F111BY102IN","111B","Lenawee",248068,"Lenawee silty clay loam"
"F111BY102IN","111B","Lenawee",243181,"Lenawee mucky silty clay loam"
"F111BY404IN","111B","Leoni",251483,"Leoni gravelly loam, 12 to 25 percent slopes"
NA,"111B","Lickcreek",243303,"Lickcreek silt loam, 0 to 3 percent slopes, occasionally flooded, very brief duration"
"F111BY204IN","111B","Lindside",247351,"Lindside silt loam, occasionally flooded"
"R111BY001IN","111B","Linwood",271469,"Linwood muck, 0 to 3 percent slopes"
"R111BY001IN","111B","Linwood",249976,"Linwood muck"
"R111BY001IN","111B","Linwood",248069,"Linwood muck"
"R111BY001IN","111B","Linwood",246413,"Linwood muck"
"R111BY401IN","111B","Lippincott",249978,"Lippincott-Urban land complex"
"F111BY102IN","111B","Luray",247352,"Luray silty clay loam"
"F111BY101IN","111B","Luray",247352,"Luray silty clay loam"
"F111BY503IN","111B","Lybrand",251490,"Lybrand silty clay loam, 12 to 18 percent slopes, severely eroded"
"F111BY503IN","111B","Lybrand",251489,"Lybrand silt loam, 18 to 25 percent slopes, eroded"
"F111BY503IN","111B","Lybrand",924073,"Lybrand silt loam, 18 to 50 percent slopes"
"F111BY503IN","111B","Lybrand",251500,"Milton-Lybrand complex, 12 to 18 percent slopes, eroded"
"F111BY503IN","111B","Lybrand",889711,"Lybrand silt loam, 20 to 55 percent slopes"
"F111BY503IN","111B","Lybrand",243308,"Lybrand-Belmore loams, 30 to 50 percent slopes"
"F111BY503IN","111B","Lybrand",251488,"Lybrand silt loam, 12 to 18 percent slopes, eroded"
"F111BY503IN","111B","Lybrand",889712,"Lybrand silty clay loam, 12 to 20 percent slopes, eroded"
"F111BY503IN","111B","Lybrand",890625,"Fox-Lybrand complex, 6 to 12 percent slopes, eroded"
"F111BY503IN","111B","Lybrand",243306,"Lybrand-Belmore loams, 15 to 30 percent slopes"
"F111BY503IN","111B","Lykens",247355,"Lykens-Milton silt loams, 2 to 6 percent slopes"
"F111BY503IN","111B","Lykens",247353,"Lykens silt loam, 0 to 2 percent slopes"
"F111BY502IN","111B","Macomb",271383,"Brady and Macomb sandy loams, 0 to 3 percent slopes"
"F111BY502IN","111B","Macomb",271380,"Brady and Macomb loams, 0 to 3 percent slopes"
"F111BY502IN","111B","Macomb",271472,"Macomb sandy clay loam and Hoytville clay loam, 0 to 3 percent slopes"
NA,"111B","Madaus",283329,"Martisco muck, sandy substratum"
NA,"111B","Made land",243184,"Made land"
"F111BY404IN","111B","Martinsville",243311,"Martinsville loam, 2 to 6 percent slopes"
"F111BY404IN","111B","Martinsville",250087,"Martinsville loam, 2 to 6 percent slopes"
"F111BY404IN","111B","Martinsville",243310,"Martinsville loam, 0 to 2 percent slopes"
"F111BY404IN","111B","Martinsville",239122,"Martinsville loam, 2 to 6 percent slopes"
"F111BY404IN","111B","Martinsville",246414,"Martinsville loam, 1 to 4 percent slopes"
"F111BY404IN","111B","Martinsville",239120,"Martinsville loam, 0 to 2 percent slopes"
"F111BY404IN","111B","Martinsville",243194,"Martinsville silt loam, 0 to 2 percent slopes"
"F111BY404IN","111B","Martinsville",243188,"Martinsville loam, 2 to 6 percent slopes, moderately eroded"
"F111BY404IN","111B","Martinsville",239017,"Martinsville loam, 2 to 6 percent slopes, eroded"
"F111BY404IN","111B","Martinsville",239324,"Martinsville silt loam, 2 to 8 percent slopes"
"F111BY404IN","111B","Martinsville",250086,"Martinsville loam, 0 to 2 percent slopes"
"F111BY404IN","111B","Martinsville",243196,"Martinsville soils, 6 to 12 percent slopes, severely eroded"
"F111BY404IN","111B","Martinsville",247388,"Shinrock-Martinsville complex, 6 to 12 percent slopes, eroded"
"F111BY404IN","111B","Martinsville",240076,"Martinsville loam, 1 to 6 percent slopes"
"F111BY404IN","111B","Martinsville",239123,"Martinsville loam, 6 to 12 percent slopes, eroded"
"F111BY404IN","111B","Martinsville",251492,"Martinsville loam, till substratum, 2 to 6 percent slopes"
"F111BY404IN","111B","Martinsville",247390,"Shinrock-Martinsville complex, 12 to 18 percent slopes, eroded"
"F111BY404IN","111B","Martinsville",247357,"Martinsville fine sandy loam, 2 to 6 percent slopes"
"F111BY404IN","111B","Martinsville",251491,"Martinsville loam, 2 to 6 percent slopes"
"F111BY404IN","111B","Martinsville",240077,"Martinsville loam, 6 to 15 percent slopes"
"F111BY404IN","111B","Martinsville",243193,"Martinsville loam, gravelly substratum, 2 to 6 percent slopes"
"F111BY404IN","111B","Martinsville",243189,"Martinsville loam, 6 to 12 percent slopes, moderately eroded"
"F111BY404IN","111B","Martinsville",239322,"Martinsville silt loam, 0 to 2 percent slopes"
"F111BY404IN","111B","Martinsville",243190,"Martinsville loam, gravelly substratum, 0 to 2 percent slopes"
"R111BY002IN","111B","Martisco",245346,"Martisco muck"
"R111BY002IN","111B","Martisco",858202,"Martisco muck, drained"
"R111BY002IN","111B","Martisco",249980,"Martisco mucky silt loam"
NA,"111B","Martisco Variant",249981,"Martisco Variant silt loam"
"F111BY403IN","111B","Matherton",275684,"Matherton sandy loam, 0 to 4 percent slopes"
NA,"111B","Maumee",271474,"Maumee loamy sand, 0 to 3 percent slopes"
NA,"111B","McGary",245264,"McGary silt loam"
NA,"111B","McGary",247448,"McGary silt loam, 0 to 4 percent slopes"
NA,"111B","McGary",248010,"McGary silty clay loam, 0 to 2 percent slopes"
NA,"111B","McGary",248012,"McGary silty clay loam, 2 to 6 percent slopes"
"R111BY001IN","111B","McGuffey",246415,"McGuffey muck"
"F111BY202IN","111B","Medway",247358,"Medway silt loam, rarely flooded"
"F111BY202IN","111B","Medway",248153,"Medway silt loam, occasionally flooded"
"F111BY202IN","111B","Medway",889713,"Medway silt loam, 0 to 2 percent slopes, occasionally flooded"
"F111BY202IN","111B","Medway",250088,"Medway clay loam, rarely flooded"
NA,"111B","Medway, limestone substratum",924099,"Medway silt loam, limestone substratum, 0 to 2 percent slopes, occasionally flooded"
"F111BY501IN","111B","Mermill",247360,"Mermill silty clay loam"
"F111BY501IN","111B","Mermill",240079,"Mermill loam"
"F111BY501IN","111B","Mermill",245347,"Mermill loam"
"F111BY501IN","111B","Mermill",247359,"Mermill loam"
"F111BY502IN","111B","Metamora",275685,"Metamora sandy loam, 0 to 4 percent slopes"
"F111BY503IN","111B","Metea",238608,"Metea loamy fine sand, moderately slowly permeable, 0 to 2 percent slopes"
"F111BY503IN","111B","Metea",238609,"Metea loamy fine sand, moderately slowly permeable, 2 to 6 percent slopes"
"F111BY503IN","111B","Metea",239126,"Metea loamy sand, 6 to 12 percent slopes"
"F111BY503IN","111B","Metea",239125,"Metea loamy sand, 2 to 6 percent slopes"
"F111BY503IN","111B","Metea",237629,"Metea loamy sand, 2 to 6 percent slopes"
"F111BY503IN","111B","Metea",238610,"Metea loamy fine sand, moderately slowly permeable, 6 to 12 percent slopes"
"F111BY503IN","111B","Miami",2465652,"Miami loam, 12 to 18 percent slopes, eroded"
"F111BY503IN","111B","Miami",243200,"Miami silt loam, 6 to 12 percent slopes, moderately eroded"
"F111BY503IN","111B","Miami",2465682,"Miami clay loam, Saginaw lobe, 12 to 18 percent slopes, severely eroded"
"F111BY503IN","111B","Miami",2465673,"Miami loam, 18 to 25 percent slopes, eroded"
"F111BY503IN","111B","Miami",237802,"Morley, Miami, and Rawson loams, 6 to 12 percent slopes, eroded"
"F111BY503IN","111B","Miami",271488,"Miami soils, 15 to 25 percent slopes, severely eroded"
"F111BY503IN","111B","Miami",239137,"Miami clay loam, moderately permeable substratum, 6 to 12 percent slopes, severely eroded"
"F111BY503IN","111B","Miami",240083,"Miami sandy loam, 12 to 18 percent slopes, eroded"
"F111BY503IN","111B","Miami",2399644,"Miami clay loam, Saginaw lobe, 6 to 12 percent slopes, severely eroded"
"F111BY503IN","111B","Miami",240084,"Miami sandy loam, 18 to 25 percent slopes, eroded"
"F111BY503IN","111B","Miami",275709,"Owosso-Miami complex, 2 to 6 percent slopes"
"F111BY503IN","111B","Miami",240847,"Miami silt loam, 2 to 6 percent slopes, eroded"
"F111BY503IN","111B","Miami",240080,"Miami sandy loam, 2 to 6 percent slopes, eroded"
"F111BY503IN","111B","Miami",240082,"Miami sandy loam, 6 to 12 percent slopes, eroded"
NA,"111B","Miamian",249982,"Miamian silt loam, 2 to 6 percent slopes"
NA,"111B","Miamian",249985,"Miamian silt loam, 6 to 12 percent slopes, moderately eroded"
NA,"111B","Miamian",249988,"Miamian silt loam, 18 to 25 percent slopes, moderately eroded"
NA,"111B","Miamian",249989,"Miamian silt loam, 25 to 50 percent slopes"
NA,"111B","Miamian",249990,"Miamian-Urban land complex, undulating"
NA,"111B","Miamian",249993,"Miamian-Urban land complex, rolling"
NA,"111B","Miamian",245174,"Miamian silt loam, 6 to 12 percent slopes, moderately eroded"
NA,"111B","Miamian",245176,"Miamian silt loam, 18 to 35 percent slopes, moderately eroded"
NA,"111B","Miamian Variant",249996,"Miamian Variant silt loam, 6 to 15 percent slopes, moderately eroded"
"F111BY102IN","111B","Milford",247451,"Milford silty clay"
"F111BY102IN","111B","Milford",2465784,"Milford silty clay loam, 0 to 2 percent slopes"
"F111BY102IN","111B","Milford",239220,"Milford silty clay loam, stratified sandy substratum"
"F111BY102IN","111B","Milford",243317,"Milford silty clay loam, stratified sandy substratum, 0 to 1 percent slopes"
"F111BY102IN","111B","Milford",239178,"Sebewa-Milford complex"
"F111BY102IN","111B","Milford",243318,"Milford silty clay loam, till substratum, 0 to 1 percent slopes"
"F111BY101IN","111B","Milford",247451,"Milford silty clay"
"F111BY101IN","111B","Milford",2465784,"Milford silty clay loam, 0 to 2 percent slopes"
"F111BY101IN","111B","Milford",239220,"Milford silty clay loam, stratified sandy substratum"
"F111BY101IN","111B","Milford",243317,"Milford silty clay loam, stratified sandy substratum, 0 to 1 percent slopes"
"F111BY101IN","111B","Milford",239178,"Sebewa-Milford complex"
"F111BY101IN","111B","Milford",243318,"Milford silty clay loam, till substratum, 0 to 1 percent slopes"
"R111BY401IN","111B","Millgrove",245267,"Millgrove silty clay loam"
"R111BY401IN","111B","Millgrove",248071,"Millgrove loam"
"R111BY401IN","111B","Millgrove",247456,"Millgrove clay loam"
"R111BY401IN","111B","Millgrove",251496,"Millgrove silty clay loam, 0 to 2 percent slopes, rarely flooded"
"R111BY401IN","111B","Millgrove",245348,"Millgrove loam"
"R111BY401IN","111B","Millgrove",245266,"Millgrove silt loam"
"R111BY401IN","111B","Millgrove",247362,"Millgrove silt loam"
"R111BY401IN","111B","Millgrove",239221,"Millgrove clay loam"
"R111BY401IN","111B","Millgrove",241439,"Millgrove loam"
"R111BY401IN","111B","Millgrove",243319,"Millgrove silty clay loam, 0 to 1 percent slopes"
"R111BY401IN","111B","Millgrove",248015,"Millgrove silty clay loam"
"R111BY401IN","111B","Millgrove",245349,"Millgrove clay loam"
"R111BY401IN","111B","Millgrove",243366,"Urban land-Millgrove complex, 0 to 1 percent slopes"
"R111BY401IN","111B","Millgrove",251495,"Millgrove silty clay loam, 0 to 2 percent slopes"
"R111BY401IN","111B","Millgrove",248579,"Millgrove silt loam"
"R111BY301IN","111B","Millsdale",924122,"Millsdale silty clay loam, 0 to 1 percent slopes"
"R111BY301IN","111B","Millsdale",247363,"Millsdale silty clay loam"
"R111BY301IN","111B","Millsdale",239222,"Millsdale silty clay loam"
"R111BY301IN","111B","Millsdale",246417,"Millsdale silty clay loam"
"R111BY301IN","111B","Millsdale",251587,"Millsdale silty clay loam, 0 to 1 percent slopes"
"R111BY301IN","111B","Millsdale",239139,"Millsdale silty clay loam"
"R111BY301IN","111B","Millsdale",252230,"Millsdale silty clay loam, 0 to 1 percent slopes"
"R111BY301IN","111B","Millsdale",245102,"Millsdale silty clay loam"
"R111BY301IN","111B","Millsdale",248016,"Millsdale silty clay loam"
"R111BY301IN","111B","Millsdale",239325,"Millsdale silty clay loam"
"F111BY303IN","111B","Milton",251499,"Milton-Lybrand complex, 12 to 18 percent slopes, eroded"
"F111BY303IN","111B","Milton",248074,"Milton silt loam, 2 to 6 percent slopes"
"F111BY303IN","111B","Milton",924130,"Milton silt loam, 0 to 2 percent slopes"
"F111BY303IN","111B","Milton",250090,"Milton silt loam, 1 to 4 percent slopes"
"F111BY303IN","111B","Milton",245019,"Milton silt loam, 6 to 12 percent slopes, eroded"
"F111BY303IN","111B","Milton",2465806,"Morley, limestone substratum-Milton complex, 2 to 6 percent slopes"
"F111BY303IN","111B","Milton",251497,"Milton silt loam, 2 to 6 percent slopes"
"F111BY303IN","111B","Milton",2465794,"Morley-Milton silt loams, 2 to 6 percent slopes"
"F111BY303IN","111B","Milton",249998,"Milton silt loam, 2 to 6 percent slopes"
"F111BY303IN","111B","Milton",245022,"Milton-Urban land complex, 6 to 12 percent slopes"
"F111BY303IN","111B","Milton",247356,"Lykens-Milton silt loams, 2 to 6 percent slopes"
"F111BY303IN","111B","Milton",245020,"Milton-Urban land complex, 2 to 6 percent slopes"
"F111BY303IN","111B","Milton",251498,"Milton silt loam, 6 to 12 percent slopes, eroded"
"F111BY303IN","111B","Milton",889714,"Milton loam, 0 to 2 percent slopes"
"F111BY303IN","111B","Milton",923651,"Biglick-Milton complex, 2 to 6 percent slopes"
"F111BY303IN","111B","Milton",245103,"Milton silt loam, 2 to 6 percent slopes"
"F111BY303IN","111B","Milton",247365,"Milton silt loam, 2 to 6 percent slopes"
"F111BY303IN","111B","Milton",239143,"Milton silt loam, 6 to 12 percent slopes, eroded"
"F111BY303IN","111B","Milton",239142,"Milton silt loam, 2 to 6 percent slopes, eroded"
"F111BY303IN","111B","Milton",251589,"Milton silt loam, 2 to 6 percent slopes"
"F111BY303IN","111B","Milton",239326,"Milton silt loam, 0 to 2 percent slopes"
"F111BY303IN","111B","Milton",239140,"Milton silt loam, 0 to 2 percent slopes"
"F111BY303IN","111B","Milton",923642,"Biglick-Milton complex, 0 to 2 percent slopes"
"F111BY303IN","111B","Milton",250004,"Milton silt loam, 12 to 18 percent slopes, moderately eroded"
"F111BY303IN","111B","Milton",239330,"Milton silt loam, 6 to 15 percent slopes"
"F111BY303IN","111B","Milton",248073,"Milton silt loam, 0 to 2 percent slopes"
"F111BY303IN","111B","Milton",247364,"Milton silt loam, 0 to 2 percent slopes"
"F111BY303IN","111B","Milton",239328,"Milton silt loam, 2 to 6 percent slopes"
"F111BY303IN","111B","Milton",250001,"Milton silt loam, 6 to 12 percent slopes, moderately eroded"
NA,"111B","Milton variant",239144,"Milton variant silt loam, 30 to 70 percent slopes"
NA,"111B","Milton variant",239223,"Milton variant silt loam, 0 to 2 percent slopes"
NA,"111B","Milton Variant",248075,"Milton variant loam, 0 to 2 percent slopes"
NA,"111B","Milton Variant",248076,"Milton variant loam, 2 to 6 percent slopes"
"F111BY101IN","111B","Minster",1868070,"Minster silty clay loam, gravelly substratum, 0 to 1 percent slopes"
"F111BY101IN","111B","Minster",1912234,"Minster silty clay loam, till substratum, 0 to 1 percent slopes"
"F111BY101IN","111B","Minster",1912227,"Minster silty clay loam, 0 to 1 percent slopes"
"F111BY102IN","111B","Minster",1868070,"Minster silty clay loam, gravelly substratum, 0 to 1 percent slopes"
"F111BY102IN","111B","Minster",1912234,"Minster silty clay loam, till substratum, 0 to 1 percent slopes"
"F111BY102IN","111B","Minster",1912227,"Minster silty clay loam, 0 to 1 percent slopes"
"F111BY503IN","111B","Mississinewa",2399711,"Glynwood-Mississinewa clay loams, end moraine, 3 to 8 percent slopes, severely eroded"
"F111BY503IN","111B","Mississinewa",1974534,"Glynwood-Mississinewa clay loams, 6 to 12 percent slopes, severely eroded"
"F111BY503IN","111B","Mississinewa",2399707,"Glynwood-Mississinewa clay loams, ground moraine, 3 to 8 percent slopes, severely eroded"
"F111BY503IN","111B","Mississinewa",243298,"Glynwood-Mississinewa clay loams, 2 to 6 percent slopes, severely eroded"
"F111BY503IN","111B","Mississinewa",243325,"Morley-Mississinewa clay loams, 10 to 15 percent slopes, severely eroded"
"F111BY503IN","111B","Morley",2465738,"Morley silty clay loam, 6 to 12 percent slopes, severely eroded"
"F111BY503IN","111B","Morley",2465748,"Morley silt loam, 12 to 18 percent slopes, eroded"
"F111BY503IN","111B","Morley",2399677,"Morley clay loam, 12 to 18 percent slopes, eroded"
"F111BY503IN","111B","Morley",2465764,"Morley clay loam, 12 to 18 percent slopes, severely eroded"
"F111BY503IN","111B","Morley",2399681,"Morley loam, 6 to 12 percent slopes"
"F111BY503IN","111B","Morley",2399685,"Morley loam, 6 to 12 percent slopes, eroded"
"F111BY503IN","111B","Morley",2465805,"Morley, limestone substratum-Milton complex, 2 to 6 percent slopes"
"F111BY503IN","111B","Morley",2465744,"Morley silt loam, 12 to 18 percent slopes"
"F111BY503IN","111B","Morley",271662,"Morley loam, 18 to 35 percent slopes"
"F111BY503IN","111B","Morley",240497,"Morley silty clay loam, 12 to 25 percent slopes, severely eroded"
"F111BY503IN","111B","Morley",248136,"Eldean-Morley complex, 6 to 15 percent slopes, eroded"
"F111BY503IN","111B","Morley",248170,"Morley silt loam, 25 to 50 percent slopes"
"F111BY503IN","111B","Morley",2399672,"Morley silt loam, 18 to 25 percent slopes, eroded"
"F111BY503IN","111B","Morley",2399669,"Morley silt loam, 18 to 25 percent slopes"
"F111BY503IN","111B","Morley",2465756,"Morley silt loam, 18 to 50 percent slopes, eroded"
"F111BY503IN","111B","Morley",248040,"Belmore-Morley complex, 18 to 50 percent slopes, eroded"
"F111BY503IN","111B","Morley",2465734,"Morley silt loam, 6 to 12 percent slopes, eroded"
"F111BY503IN","111B","Morley",2465730,"Morley silt loam, 6 to 12 percent slopes"
"F111BY503IN","111B","Morley",2465752,"Morley silty clay loam, 12 to 18 percent slopes, severely eroded"
"F111BY503IN","111B","Morley",271493,"Morley loam, 0 to 3 percent slopes"
"F111BY503IN","111B","Morley",271505,"Morley soils, 7 to 15 percent slopes, severely eroded"
"F111BY503IN","111B","Morley",238622,"Morley silty clay loam, 5 to 15 percent slopes, severely eroded"
"F111BY503IN","111B","Morley",240490,"Morley sandy loam, 2 to 6 percent slopes"
"F111BY503IN","111B","Morley",2465760,"Morley clay loam, 6 to 12 percent slopes, severely eroded"
"F111BY503IN","111B","Morley",2465768,"Morley clay loam, 18 to 25 percent slopes, severely eroded"
"F111BY503IN","111B","Morley",237801,"Morley, Miami, and Rawson loams, 6 to 12 percent slopes, eroded"
"F111BY503IN","111B","Morley",241459,"Urban land-Morley complex, 6 to 15 percent slopes"
"F111BY503IN","111B","Morley",271507,"Morley soils, 25+ percent slopes, moderately or severely eroded"
"F111BY503IN","111B","Morley",2465772,"Morley loam, 12 to 18 percent slopes"
"F111BY503IN","111B","Morley",239225,"Morley loam, moderately slow perm, 2 to 6 percent slopes, eroded"
"F111BY503IN","111B","Morley",246421,"Morley-Belmore complex, 6 to 15 percent slopes, eroded"
"F111BY503IN","111B","Morley",2465793,"Morley-Milton silt loams, 2 to 6 percent slopes"
"F111BY503IN","111B","Morley",271502,"Morley loam, 12 to 25 percent slopes, moderately eroded"
"F111BY503IN","111B","Morley",239227,"Morley loam, 15 to 30 percent slopes"
"F111BY503IN","111B","Morley",248132,"Eldean-Morley complex, 2 to 6 percent slopes, eroded"
"F111BY503IN","111B","Morley",243321,"Morley silt loam, 10 to 15 percent slopes, eroded"
"F111BY503IN","111B","Morley",271501,"Morley loam, 12 to 25 percent slopes"
"F111BY503IN","111B","Morley",271503,"Morley loam, 25+ percent slopes"
"F111BY503IN","111B","Morley",240092,"Morley loam, 20 to 30 percent slopes, eroded"
"F111BY503IN","111B","Morley",240090,"Morley loam, 6 to 12 percent slopes, eroded"
"F111BY503IN","111B","Morley",240091,"Morley loam, 12 to 20 percent slopes, eroded"
"F111BY503IN","111B","Morley",239064,"Morley silt loam, 3 to 6 percent slopes"
"F111BY503IN","111B","Morley",238624,"Morley-Glynwood complex, 1 to 4 percent slopes"
"F111BY503IN","111B","Morley",238623,"Morley silty clay loam, 15 to 25 percent slopes, severely eroded"
"F111BY503IN","111B","Morley",242354,"Morley silty clay loam, 12 to 18 percent slopes, eroded"
"F111BY503IN","111B","Morley",243324,"Morley-Mississinewa clay loams, 10 to 15 percent slopes, severely eroded"
"F111BY503IN","111B","Morley",269167,"Morley silt loam, 6 to 12 percent slopes"
"F111BY503IN","111B","Morley",240088,"Morley loam, 3 to 6 percent slopes, eroded"
"F111BY503IN","111B","Morley",245192,"Morley silt loam, 25 to 50 percent slopes, moderately eroded"
"F111BY503IN","111B","Morley",240095,"Morley clay loam, 20 to 30 percent slopes, severely eroded"
"F111BY503IN","111B","Morley",238621,"Morley loam, 6 to 12 percent slopes"
"F111BY503IN","111B","Morley",275696,"Morley loam, 18 to 25 percent slopes"
NA,"111B","Morley, limestone substratum",924144,"Morley loam, limestone substratum, 0 to 2 percent slopes"
"F111BY503IN","111B","Mortimer",924160,"Mortimer silt loam, 2 to 6 percent slopes"
"F111BY404IN","111B","Muncie",243292,"Fox-Muncie clay loams, 12 to 18 percent slopes, severely eroded"
"F111BY404IN","111B","Muncie",243286,"Fox-Muncie complex, 2 to 6 percent slopes, eroded"
"F111BY404IN","111B","Muncie",243288,"Fox-Muncie complex, 6 to 12 percent slopes, eroded"
"F111BY404IN","111B","Muncie",243290,"Fox-Muncie clay loams, 6 to 12 percent slopes, severely eroded"
"R111BY002IN","111B","Muskego",237899,"Muskego muck, drained"
"R111BY002IN","111B","Muskego",250010,"Muskego muck"
"R111BY002IN","111B","Muskego",243330,"Muskego muck, undrained, 0 to 1 percent slopes"
"R111BY002IN","111B","Muskego",240096,"Muskego muck, clay loam substratum, drained"
"R111BY002IN","111B","Muskego",243329,"Muskego muck, drained, 0 to 1 percent slopes"
"R111BY002IN","111B","Muskego",247467,"Muskego muck"
"F111BY502IN","111B","Nappanee",271516,"Nappanee loam, 3 to 7 percent slopes, moderately eroded"
"F111BY502IN","111B","Nappanee",271514,"Nappanee loam, 3 to 7 percent slopes"
"F111BY502IN","111B","Nappanee",247372,"Nappanee silty clay loam, 6 to 12 percent slopes, eroded"
"F111BY502IN","111B","Nappanee",247370,"Nappanee silty clay loam, 0 to 2 percent slopes"
"F111BY502IN","111B","Nappanee",275700,"Nappanee silty clay loam, 2 to 6 percent slopes"
"F111BY502IN","111B","Nappanee",247371,"Nappanee silty clay loam, 2 to 6 percent slopes, eroded"
"F111BY502IN","111B","Nappanee",245194,"Nappanee silt loam, 0 to 2 percent slopes"
"F111BY502IN","111B","Nappanee",271510,"Nappanee silt loam, 3 to 7 percent slopes"
"F111BY502IN","111B","Nappanee",242355,"Nappanee silt loam, 0 to 3 percent slopes"
"F111BY502IN","111B","Nappanee",271512,"Nappanee silt loam, 3 to 7 percent slopes, moderately eroded"
"F111BY502IN","111B","Nappanee",889715,"Nappanee clay loam, 0 to 2 percent slopes"
"F111BY502IN","111B","Nappanee",247369,"Nappanee silt loam, 2 to 6 percent slopes"
"F111BY502IN","111B","Nappanee",250011,"Nappanee silt loam, 0 to 2 percent slopes"
"F111BY502IN","111B","Nappanee",250013,"Nappanee silt loam, 2 to 6 percent slopes"
"F111BY502IN","111B","Nappanee",245196,"Nappanee silt loam, 2 to 6 percent slopes"
"F111BY203IN","111B","Newark",250092,"Newark silt loam, occasionally flooded"
"F111BY203IN","111B","Newark",246425,"Newark silt loam, occasionally flooded"
"F111BY204IN","111B","Nolin",246426,"Nolin silt loam, occasionally flooded"
"F111BY204IN","111B","Nolin",250093,"Nolin silt loam, occasionally flooded"
"F111BY204IN","111B","Nolin",250093,"Nolin silt loam, 0 to 2 percent slopes, occasionally flooded"
NA,"111B","Oakville",275702,"Oakville fine sand, 0 to 6 percent slopes"
NA,"111B","Oakville",275704,"Oakville fine sand, 6 to 12 percent slopes"
"F111BY404IN","111B","Ockley",239149,"Ockley loam, 0 to 2 percent slopes"
"F111BY404IN","111B","Ockley",248021,"Ockley loam, 0 to 2 percent slopes"
"F111BY404IN","111B","Ockley",250094,"Ockley loam, 0 to 2 percent slopes"
"F111BY404IN","111B","Ockley",240501,"Ockley silt loam, 2 to 6 percent slopes"
"F111BY404IN","111B","Ockley",243332,"Ockley silt loam, 2 to 6 percent slopes, eroded"
"F111BY404IN","111B","Ockley",250095,"Ockley loam, 2 to 6 percent slopes"
"F111BY404IN","111B","Ockley",248022,"Ockley loam, 2 to 6 percent slopes"
"F111BY404IN","111B","Ockley",239336,"Ockley loam, 0 to 2 percent slopes"
"F111BY404IN","111B","Ockley",243331,"Ockley silt loam, 0 to 2 percent slopes"
"F111BY404IN","111B","Ockley",246428,"Ockley loam, 2 to 6 percent slopes"
"F111BY404IN","111B","Ockley",239338,"Ockley loam, 2 to 6 percent slopes"
"F111BY404IN","111B","Ockley",248171,"Ockley silt loam, 0 to 3 percent slopes"
"F111BY404IN","111B","Ockley",239151,"Ockley loam, 2 to 6 percent slopes, eroded"
"F111BY404IN","111B","Ockley",246427,"Ockley loam, 0 to 2 percent slopes"
"R111BY001IN","111B","Ogden",271518,"Ogden muck, 0 to 3 percent slopes"
"R111BY001IN","111B","Olentangy",246429,"Olentangy silt loam"
"R111BY001IN","111B","Olentangy",247373,"Olentangy mucky silt loam"
"R111BY001IN","111B","Olentangy",248023,"Olentangy mucky silt loam"
"F111BY404IN","111B","Ormas",240505,"Ormas-Oshtemo loamy sands, 2 to 8 percent slopes"
"F111BY404IN","111B","Ormas",240097,"Ormas loamy fine sand, 0 to 4 percent slopes"
"F111BY404IN","111B","Ormas",237635,"Ormas loamy sand, 0 to 6 percent slopes"
"F111BY404IN","111B","Ormas",239152,"Ormas loamy sand, 0 to 2 percent slopes"
"F111BY404IN","111B","Ormas",239154,"Ormas loamy sand, 2 to 6 percent slopes"
"F111BY404IN","111B","Ormas",239155,"Ormas loamy sand, 6 to 15 percent slopes"
NA,"111B","Orthents",1974581,"Urban land-Orthents, clayey, complex, 1 to 8 percent slopes"
NA,"111B","Orthents",279083,"Orthents, earthen dam"
NA,"111B","Orthents",2134635,"Orthents, clayey-Urban land complex, 1 to 8 percent slopes"
"F111BY404IN","111B","Oshtemo",247374,"Oshtemo fine sandy loam, 1 to 6 percent slopes"
"F111BY404IN","111B","Oshtemo",243220,"Oshtemo fine sandy loam, loamy substratum, 0 to 2 percent slopes"
"F111BY404IN","111B","Oshtemo",243222,"Oshtemo fine sandy loam, loamy substratum, 6 to 12 percent slopes, moderately eroded"
"F111BY404IN","111B","Oshtemo",247376,"Oshtemo fine sandy loam, 18 to 35 percent slopes"
"F111BY404IN","111B","Oshtemo",245355,"Oshtemo sandy loam, 2 to 6 percent slopes"
"F111BY404IN","111B","Oshtemo",243224,"Oshtemo sandy loam, 2 to 6 percent slopes"
"F111BY404IN","111B","Oshtemo",247375,"Oshtemo fine sandy loam, 6 to 18 percent slopes, eroded"
"F111BY404IN","111B","Oshtemo",246274,"Oshtemo loamy sand, 0 to 6 percent slopes"
"F111BY404IN","111B","Oshtemo",240506,"Ormas-Oshtemo loamy sands, 2 to 8 percent slopes"
"F111BY404IN","111B","Oshtemo",924240,"Oshtemo fine sandy loam, 6 to 12 percent slopes"
"F111BY404IN","111B","Oshtemo",240509,"Oshtemo sandy loam, 0 to 4 percent slopes"
"F111BY404IN","111B","Oshtemo",271521,"Oshtemo loamy sand, 3 to 7 percent slopes, moderately eroded"
"F111BY404IN","111B","Oshtemo",248081,"Oshtemo sandy loam, 2 to 6 percent slopes"
