"muiid","ncnesoil30m","LRU","pmlra","affinity","best","ofbest","compname","coiid","dmuiid","nationalmusym","muname","majcompflag","comppct_r","taxorder","taxsubgrp","taxclname","drainagecl","slope_r","carbdepth","rockdepth","T150_sand","T150_clay","T150_OM","T50_sand","T50_pH","flood","humicdepth","pmkind","pmorigin","landform_string","hydricrating","Bhs","Water_Table","Site","Site111"
167970,167970,"99A",0.0184268761949602,35.4595647856528,35.4595647856528,100,"Linwood",283914,125643,"5msd","Colwood silt loam",FALSE,3,"histosols","terric medisaprists","Loamy, mixed, euic, mesic Terric Medisaprists","very poorly",0,250,250,,,,,,"none",0,"organic, unspecified & till, unspecified",,"bog","yes","no",0,"M2 Mucky Depression","Mineral Muck"
169856,169856,"99A",0.00535061886549955,100,100,100,"Muskego",247874,127491,"5pr7","Muskego muck",TRUE,85,"histosols","limnic medisaprists","Coprogenous, euic, mesic Limnic Medisaprists","very poorly",1,91,250,1.96666666666667,10.4233333333333,44.2466666666667,0,6.5,"none",152,"organic, herbaceous material & coprogenic material",,"outwash plain","yes","no",0,"M2 Mucky Depression","Limnic Muck"
170704,170704,"99A",0.00154694763118184,100,100,100,"Willette",249172,128384,"5qml","Willette muck",TRUE,100,"histosols","terric medisaprists","Clayey, illitic, euic, mesic Terric Medisaprists","very poorly",1,64,250,8.6,28.6666666666667,34.4933333333333,0,6.80000019073486,"none",64,"organic, unspecified & glaciolacustrine deposits",,"flat","yes","no",0,"M2 Mucky Depression","Mineral Muck"
186776,186776,"99B",0.140025563056659,100,100,100,"Histosols",1976754,594371,"68c1","Aquents and Histosols, ponded",TRUE,35,"histosols",,"Saprists","very poorly",1,51,250,43.024668375651,22.32,25.83,10,6.09999990463257,"none",51,"organic, woody material & till, unspecified",,"marsh & till plain","yes","no",0,"M2 Mucky Depression","Deep Muck"
186776,2508130,"99B",0.140025563056659,100,100,100,"Histosols",1976754,594371,"68c1","Aquents and Histosols, ponded",TRUE,35,"histosols",,"Saprists","very poorly",1,51,250,43.024668375651,22.32,25.83,10,6.09999990463257,"none",51,"organic, woody material & till, unspecified",,"marsh & till plain","yes","no",0,"M2 Mucky Depression","Deep Muck"
186780,186780,"99B",0.266808545726548,100,100,100,"Adrian",1976756,594369,"68c5","Covert-Tobico complex, 0 to 6 percent slopes",FALSE,15,"histosols","terric haplosaprists","Sandy or sandy-skeletal, mixed, euic, mesic Terric Haplosaprists","very poorly",0,71,250,55.5566666666667,17.4866666666667,35.7633333333333,10,6.35600017547607,"none",71,"organic, herbaceous material & glaciofluvial deposits",,"depression & beach","yes","no",0,"M2 Mucky Depression","Mineral Muck"
186781,186781,"99B",0.0678531832921321,100,100,100,"Adrian",1903153,584267,"68c6","Pipestone-Tobico-Adrian complex, 0 to 2 percent slopes",TRUE,25,"histosols","terric haplosaprists","Sandy or sandy-skeletal, mixed, euic, mesic Terric Haplosaprists","very poorly",0,71,250,55.5566666666667,17.4866666666667,35.7633333333333,10,6.35600017547607,"none",71,"organic, herbaceous material & glaciofluvial deposits",,"depression & beach","yes","no",0,"M2 Mucky Depression","Mineral Muck"
186785,186785,"99B",0.0522040124955241,100,100,100,"Linwood",1981426,584274,"68cb","Aurelius muck",FALSE,5,"histosols","terric haplosaprists","Loamy, mixed, euic, mesic Terric Haplosaprists","very poorly",0,64,250,29.0346671040853,23.2866666666667,32.2866666666667,10,5.93800005912781,"none",64,"organic, woody material & till, unspecified",,"bog & till plain","yes","no",0,"M2 Mucky Depression","Mineral Muck"
186795,186795,"99B",0.188885681509039,99.2811427013225,99.2811427013225,100,"Pinnebog",1981434,584296,"68cn","Linwood muck",FALSE,5,"histosols","hemic haplosaprists","Euic, mesic Typic Haplohemists","very poorly",0,250,250,10,29.1,75,10,7.59999990463257,"none",203,"organic, herbaceous material",,"bog & till plain","yes","no",0,"M2 Mucky Depression","Deep Muck"
186795,186795,"99B",0.188885681509039,99.2811427013225,99.2811427013225,100,"Linwood",1972354,584296,"68cn","Linwood muck",TRUE,95,"histosols","terric haplosaprists","Loamy, mixed, euic, mesic Terric Haplosaprists","very poorly",0,64,250,29.0346671040853,23.2866666666667,32.2866666666667,10,5.93800005912781,"none",64,"organic, woody material & till, unspecified",,"bog & till plain","yes","no",0,"M2 Mucky Depression","Mineral Muck"
186795,2508286,"99B",0.188885681509039,99.2811427013225,99.2811427013225,100,"Pinnebog",1981434,584296,"68cn","Linwood muck",FALSE,5,"histosols","hemic haplosaprists","Euic, mesic Typic Haplohemists","very poorly",0,250,250,10,29.1,75,10,7.59999990463257,"none",203,"organic, herbaceous material",,"bog & till plain","yes","no",0,"M2 Mucky Depression","Deep Muck"
186795,2508286,"99B",0.188885681509039,99.2811427013225,99.2811427013225,100,"Linwood",1972354,584296,"68cn","Linwood muck",TRUE,95,"histosols","terric haplosaprists","Loamy, mixed, euic, mesic Terric Haplosaprists","very poorly",0,64,250,29.0346671040853,23.2866666666667,32.2866666666667,10,5.93800005912781,"none",64,"organic, woody material & till, unspecified",,"bog & till plain","yes","no",0,"M2 Mucky Depression","Mineral Muck"
186809,2508306,"99B",0.0444269255921511,100,100,100,"Pinnebog",1972373,584301,"68d3","Pinnebog muck",TRUE,100,"histosols","hemic haplosaprists","Euic, mesic Typic Haplohemists","very poorly",0,250,250,10,29.1,75,10,7.59999990463257,"none",203,"organic, herbaceous material",,"flat & bog","yes","no",0,"M2 Mucky Depression","Deep Muck"
186809,186809,"99B",0.0444269255921511,100,100,100,"Pinnebog",1972373,584301,"68d3","Pinnebog muck",TRUE,100,"histosols","hemic haplosaprists","Euic, mesic Typic Haplohemists","very poorly",0,250,250,10,29.1,75,10,7.59999990463257,"none",203,"organic, herbaceous material",,"flat & bog","yes","no",0,"M2 Mucky Depression","Deep Muck"
187401,2508393,"99A",0.407015571301865,99.603246269305,99.603246269305,100,"Palms",1898086,558108,"6906","Bach very fine sandy loam",FALSE,4,"histosols","terric haplosaprists","Loamy, mixed, euic, mesic Terric Haplosaprists","very poorly",0,56,250,14.9506664276123,30.6866666666667,28.3133333333333,10,6.43000019073486,"none",56,"organic, herbaceous material & glaciolacustrine deposits",,"depression & lake plain","yes","no",0,"M2 Mucky Depression","Mineral Muck"
187401,187401,"99A",0.407015571301865,99.603246269305,99.603246269305,100,"Palms",1898086,558108,"6906","Bach very fine sandy loam",FALSE,4,"histosols","terric haplosaprists","Loamy, mixed, euic, mesic Terric Haplosaprists","very poorly",0,56,250,14.9506664276123,30.6866666666667,28.3133333333333,10,6.43000019073486,"none",56,"organic, herbaceous material & glaciolacustrine deposits",,"depression & lake plain","yes","no",0,"M2 Mucky Depression","Mineral Muck"
187416,187416,"99A",0.0275129186051665,98.2362050237352,98.2362050237352,100,"Houghton",1870809,558705,"690p","Houghton muck",TRUE,90,"histosols","typic haplosaprists","Euic, mesic Typic Haplosaprists","very poorly",0,250,250,10,27.5,75,10,6.30000019073486,"none",203,"organic, herbaceous material",,"lake plain & till plain & flat & depression & drainageway & depression","yes","no",0,"M2 Mucky Depression","Deep Muck"
187416,187416,"99A",0.0275129186051665,98.2362050237352,98.2362050237352,100,"Palms",1898087,558705,"690p","Houghton muck",FALSE,4,"histosols","terric haplosaprists","Loamy, mixed, euic, mesic Terric Haplosaprists","very poorly",1,56,250,14.9506664276123,30.6866666666667,28.3133333333333,10,6.43000019073486,"none",56,"organic, herbaceous material & till, unspecified",,"flat & till plain & drainageway","yes","no",0,"M2 Mucky Depression","Mineral Muck"
187444,187444,"99A",0.0971301118543234,96.5658844610745,96.5658844610745,100,"Palms",269869,145188,"691l","Palms muck",TRUE,85,"histosols","terric haplosaprists","Loamy, mixed, euic, mesic Terric Haplosaprists","very poorly",1,56,250,15.7653338114421,31.3133333333333,32.39,10,6.69999980926514,"none",56,"organic, herbaceous material & till, ablation",,"till-floored lake plain & till plain & glacial drainage channel & depression & depression & depression","yes","no",0,"M2 Mucky Depression","Mineral Muck"
187444,187444,"99A",0.0971301118543234,96.5658844610745,96.5658844610745,100,"Houghton",874548,145188,"691l","Palms muck",FALSE,3,"histosols","typic haplosaprists","Euic, mesic Typic Haplosaprists","very poorly",1,250,250,10,27.5,86.6666666666667,10,6.59999990463257,"none",157,"organic, herbaceous material",,"till-floored lake plain & till plain & glacial drainage channel & depression & depression & depression","yes","no",0,"M2 Mucky Depression","Deep Muck"
187444,2508414,"99A",0.0971301118543234,96.5658844610745,96.5658844610745,100,"Palms",269869,145188,"691l","Palms muck",TRUE,85,"histosols","terric haplosaprists","Loamy, mixed, euic, mesic Terric Haplosaprists","very poorly",1,56,250,15.7653338114421,31.3133333333333,32.39,10,6.69999980926514,"none",56,"organic, herbaceous material & till, ablation",,"till-floored lake plain & till plain & glacial drainage channel & depression & depression & depression","yes","no",0,"M2 Mucky Depression","Mineral Muck"
187444,2508414,"99A",0.0971301118543234,96.5658844610745,96.5658844610745,100,"Houghton",874548,145188,"691l","Palms muck",FALSE,3,"histosols","typic haplosaprists","Euic, mesic Typic Haplosaprists","very poorly",1,250,250,10,27.5,86.6666666666667,10,6.59999990463257,"none",157,"organic, herbaceous material",,"till-floored lake plain & till plain & glacial drainage channel & depression & depression & depression","yes","no",0,"M2 Mucky Depression","Deep Muck"
187444,2508305,"99A",0.0971301118543234,96.5658844610745,96.5658844610745,100,"Palms",269869,145188,"691l","Palms muck",TRUE,85,"histosols","terric haplosaprists","Loamy, mixed, euic, mesic Terric Haplosaprists","very poorly",1,56,250,15.7653338114421,31.3133333333333,32.39,10,6.69999980926514,"none",56,"organic, herbaceous material & till, ablation",,"till-floored lake plain & till plain & glacial drainage channel & depression & depression & depression","yes","no",0,"M2 Mucky Depression","Mineral Muck"
187444,2508305,"99A",0.0971301118543234,96.5658844610745,96.5658844610745,100,"Houghton",874548,145188,"691l","Palms muck",FALSE,3,"histosols","typic haplosaprists","Euic, mesic Typic Haplosaprists","very poorly",1,250,250,10,27.5,86.6666666666667,10,6.59999990463257,"none",157,"organic, herbaceous material",,"till-floored lake plain & till plain & glacial drainage channel & depression & depression & depression","yes","no",0,"M2 Mucky Depression","Deep Muck"
187458,187458,"99A",0.064662410983401,96.103227895879,96.103227895879,100,"Palms",1898088,559896,"6921","Thomas complex",FALSE,5,"histosols","terric haplosaprists","Loamy, mixed, euic, mesic Terric Haplosaprists","very poorly",1,56,250,14.9506664276123,30.6866666666667,28.3133333333333,10,6.43000019073486,"none",56,"organic, herbaceous material & till, unspecified",,"depression & drainageway & lake plain","yes","no",0,"M2 Mucky Depression","Mineral Muck"
187504,2673629,"99B",0.0606587445932463,90.0707901356062,90.0707901356062,100,"Palms",2119887,635194,"693j","Sloan loam",FALSE,1,"histosols","terric haplosaprists","Loamy, mixed, euic, mesic Terric Haplosaprists","very poorly",0,250,250,29.2059999847412,21.8866666666667,28.07,10,6.02000019073486,"none",64,"organic, herbaceous material & till, unspecified",,"depression","yes","no",0,"M2 Mucky Depression","Mineral Muck"
187504,2673629,"99B",0.0606587445932463,90.0707901356062,90.0707901356062,100,"Houghton",2106653,635194,"693j","Sloan loam",FALSE,1,"histosols","typic haplosaprists","Euic, mesic Typic Haplosaprists","very poorly",1,250,250,10,29.1,86.1333333333333,10,6.69999980926514,"none",152,"organic, herbaceous material",,"depression","yes","no",0,"M2 Mucky Depression","Deep Muck"
187504,187504,"99B",0.0606587445932463,90.0707901356062,90.0707901356062,100,"Palms",2119887,635194,"693j","Sloan loam",FALSE,1,"histosols","terric haplosaprists","Loamy, mixed, euic, mesic Terric Haplosaprists","very poorly",0,250,250,29.2059999847412,21.8866666666667,28.07,10,6.02000019073486,"none",64,"organic, herbaceous material & till, unspecified",,"depression","yes","no",0,"M2 Mucky Depression","Mineral Muck"
