"coiid","SiteID"
246479,"F099XY007MI"
246481,"F099XY013MI"
246483,"F099XY007MI"
246484,"F099XY007MI"
246485,"F099XY007MI"
246486,"F099XY007MI"
246487,"F099XY008MI"
246488,"F099XY013MI"
246489,"F099XY013MI"
246490,"F099XY013MI"
246491,"F099XY013MI"
246492,"F099XY013MI"
246493,"F099XY007MI"
246494,"F099XY007MI"
246495,"F099XY007MI"
246496,"F099XY007MI"
246497,"F099XY007MI"
246498,"F099XY004MI"
246499,"F099XY007MI"
246500,"F099XY003MI"
246502,"F099XY007MI"
246503,"F099XY007MI"
1136700,"F099XY007MI"
246505,"F099XY003MI"
246506,"F099XY003MI"
246507,"F099XY007MI"
246508,"F099XY008MI"
246509,"F099XY007MI"
246510,"F099XY007MI"
246511,"F099XY007MI"
246512,"F099XY007MI"
246513,"F099XY007MI"
246514,"F099XY007MI"
246515,"F099XY003MI"
246516,"F099XY003MI"
246517,"F099XY003MI"
1136695,"F099XY003MI"
1136696,"F099XY003MI"
1136704,"F099XY007MI"
246521,"F099XY008MI"
246522,"F099XY009MI"
246523,"F099XY004MI"
246524,"F099XY004MI"
246525,"F099XY004MI"
246526,"F099XY003MI"
1136697,"F099XY007MI"
246528,"F099XY013MI"
246530,"F099XY007MI"
246531,"F099XY007MI"
246533,"F099XY007MI"
246535,"F099XY009MI"
1136701,"F099XY013MI"
246537,"F099XY013MI"
1136698,"F099XY011MI"
247269,"F099XY007MI"
247271,"F099XY003MI"
247273,"F099XY013MI"
247274,"F099XY002MI"
247275,"F099XY013MI"
247276,"F099XY007MI"
247278,"F099XY007MI"
247277,"F099XY007MI"
247280,"F099XY002MI"
247281,"F099XY007MI"
247282,"F099XY013MI"
247283,"F099XY007MI"
247284,"F099XY007MI"
247285,"F099XY011MI"
247286,"F099XY007MI"
247288,"F099XY007MI"
247290,"F099XY007MI"
247291,"F099XY007MI"
247292,"F099XY007MI"
247293,"F099XY013MI"
247294,"F099XY013MI"
247295,"F099XY013MI"
247296,"F099XY007MI"
247299,"F099XY003MI"
247300,"F099XY008MI"
247301,"F099XY013MI"
247302,"F099XY007MI"
247303,"F099XY003MI"
247304,"F099XY008MI"
247305,"F099XY004MI"
247306,"F099XY007MI"
247308,"F099XY007MI"
247307,"F099XY007MI"
247310,"F099XY013MI"
247313,"F099XY013MI"
247834,"F099XY003MI"
247835,"F099XY003MI"
247836,"F099XY003MI"
247838,"F099XY008MI"
247839,"F099XY013MI"
247840,"F099XY013MI"
247842,"F099XY007MI"
247844,"F099XY007MI"
247845,"F099XY007MI"
247846,"F099XY007MI"
247847,"F099XY007MI"
247848,"F099XY007MI"
247850,"F099XY007MI"
247851,"F099XY007MI"
247853,"F099XY002MI"
247854,"F099XY008MI"
247855,"F099XY007MI"
247856,"F099XY007MI"
247857,"F099XY007MI"
247859,"F099XY013MI"
247860,"F099XY011MI"
247861,"F099XY011MI"
247863,"F099XY007MI"
247865,"F099XY013MI"
247868,"F099XY013MI"
247870,"F099XY013MI"
247871,"F099XY013MI"
247873,"F099XY007MI"
247874,"F099XY014MI"
247875,"F099XY007MI"
247876,"F099XY004MI"
247877,"F099XY004MI"
247878,"F099XY004MI"
247880,"F099XY003MI"
247881,"F099XY003MI"
247885,"F099XY003MI"
247886,"F099XY008MI"
247887,"F099XY003MI"
247888,"F099XY008MI"
247889,"F099XY007MI"
247890,"F099XY007MI"
247891,"F099XY007MI"
247892,"F099XY007MI"
247894,"F099XY009MI"
247896,"F099XY007MI"
247897,"F099XY007MI"
247898,"F099XY003MI"
247899,"F099XY003MI"
247902,"F099XY013MI"
247908,"F099XY013MI"
248038,"F099XY007MI"
248039,"F099XY007MI"
248040,"F099XY007MI"
248048,"F099XY002MI"
248049,"F099XY002MI"
248062,"F099XY007MI"
248067,"F099XY007MI"
248070,"F099XY013MI"
248072,"F099XY013MI"
248073,"F099XY002MI"
248079,"F099XY007MI"
248080,"F099XY007MI"
248085,"F099XY007MI"
248088,"F099XY008MI"
248598,"F139XY005OH"
248599,"F139XY005OH"
248600,"F139XY005OH"
248601,"F139XY004OH"
248602,"F139XY004OH"
248603,"F099XY008MI"
248604,"F099XY013MI"
248605,"F099XY002MI"
248606,"F099XY013MI"
248607,"F099XY007MI"
248608,"F099XY002MI"
248609,"F099XY008MI"
248610,"F099XY008MI"
248611,"F099XY009MI"
248612,"F099XY007MI"
248614,"F099XY007MI"
248617,"F099XY013MI"
248618,"F099XY002MI"
248619,"F099XY007MI"
248620,"F099XY004MI"
248622,"F099XY007MI"
248623,"F099XY003MI"
248624,"F099XY007MI"
248625,"F099XY008MI"
248630,"F099XY009MI"
249069,"F099XY004MI"
249070,"F099XY007MI"
249071,"F099XY007MI"
249072,"F099XY007MI"
249073,"F099XY007MI"
249078,"F099XY007MI"
249077,"F099XY007MI"
249079,"F099XY013MI"
249080,"F099XY007MI"
249081,"F099XY007MI"
249082,"F099XY007MI"
249083,"F099XY007MI"
249084,"F099XY007MI"
249086,"F099XY013MI"
249088,"F099XY008MI"
249089,"F099XY007MI"
249090,"F099XY007MI"
249091,"F099XY007MI"
249092,"F099XY007MI"
249093,"F099XY007MI"
249094,"F099XY007MI"
249095,"F099XY007MI"
249096,"F099XY007MI"
249097,"F099XY007MI"
249098,"F099XY007MI"
249099,"F099XY007MI"
249100,"F099XY007MI"
249101,"F099XY008MI"
249103,"F099XY007MI"
249104,"F099XY007MI"
249105,"F099XY007MI"
249106,"F099XY007MI"
249107,"F099XY007MI"
249108,"F099XY007MI"
249109,"F099XY007MI"
249112,"F099XY007MI"
249113,"F099XY007MI"
249115,"F099XY007MI"
249114,"F099XY007MI"
249116,"F099XY013MI"
249118,"F099XY013MI"
249120,"F099XY007MI"
249121,"F099XY007MI"
249122,"F099XY007MI"
249123,"F099XY013MI"
249124,"F099XY013MI"
249125,"F099XY013MI"
249126,"F099XY013MI"
249128,"F099XY007MI"
249129,"F099XY007MI"
249130,"F099XY007MI"
249131,"F099XY007MI"
249132,"F099XY007MI"
249133,"F099XY007MI"
249135,"F099XY007MI"
249134,"F099XY007MI"
249136,"F099XY013MI"
249140,"F099XY007MI"
249141,"F099XY007MI"
249142,"F099XY007MI"
249143,"F099XY003MI"
249144,"F099XY003MI"
249145,"F099XY007MI"
249146,"F099XY007MI"
249147,"F099XY007MI"
249148,"F099XY007MI"
249149,"F099XY007MI"
249150,"F099XY007MI"
249151,"F099XY007MI"
249152,"F099XY007MI"
249153,"F099XY003MI"
249154,"F099XY003MI"
249155,"F099XY007MI"
249156,"F099XY007MI"
249157,"F099XY008MI"
249159,"F099XY009MI"
249160,"F099XY003MI"
249161,"F099XY013MI"
249163,"F099XY007MI"
249164,"F099XY007MI"
1169251,"F099XY007MI"
1169256,"F099XY007MI"
249169,"F099XY009MI"
249170,"F099XY009MI"
249171,"F099XY013MI"
249172,"F099XY014MI"
249192,"F139XY007OH"
249193,"F139XY007OH"
249194,"F139XY007OH"
249196,"F139XY002OH"
249197,"F139XY002OH"
249198,"F139XY002OH"
249199,"F139XY002OH"
249210,"F139XY003OH"
249211,"F139XY003OH"
249212,"F139XY002OH"
249213,"F139XY002OH"
249214,"F139XY002OH"
249215,"F139XY002OH"
249217,"F139XY002OH"
249216,"F139XY002OH"
249218,"F139XY002OH"
249219,"F139XY002OH"
249221,"F139XY003OH"
249230,"F139XY012OH"
249245,"F139XY008OH"
249249,"F139XY008OH"
249253,"F139XY007OH"
249254,"F139XY007OH"
249256,"F139XY007OH"
249255,"F139XY007OH"
249259,"F139XY007OH"
249277,"F139XY007OH"
249278,"F139XY007OH"
249279,"F139XY007OH"
249282,"F139XY008OH"
249293,"F139XY005OH"
249294,"F139XY005OH"
249295,"F139XY005OH"
249298,"F139XY005OH"
249299,"F139XY005OH"
249300,"F139XY005OH"
249301,"F139XY005OH"
249302,"F139XY004OH"
249303,"F139XY004OH"
249304,"F139XY004OH"
249305,"F139XY004OH"
249306,"F139XY004OH"
249307,"F139XY004OH"
249308,"F139XY005OH"
249309,"F139XY003OH"
249311,"F139XY003OH"
249310,"F139XY005OH"
889678,"F099XY004MI"
889681,"F099XY007MI"
889683,"F099XY007MI"
889690,"F099XY007MI"
889715,"F099XY007MI"
889721,"F099XY007MI"
889731,"F099XY007MI"
251529,"F139XY008OH"
251530,"F139XY012OH"
251535,"F139XY002OH"
251536,"F139XY002OH"
251537,"F099XY001MI"
251538,"F099XY007MI"
251542,"F139XY002OH"
287868,"F139XY002OH"
251544,"F139XY004OH"
251548,"F099XY002MI"
251549,"F099XY002MI"
251550,"F099XY002MI"
251552,"F139XY011OH"
287869,"F139XY011OH"
251555,"F139XY003OH"
251556,"F139XY003OH"
251557,"F139XY007OH"
251559,"F099XY007MI"
251560,"F099XY002MI"
251561,"F099XY002MI"
251565,"F139XY004OH"
251566,"F139XY004OH"
251567,"F139XY009OH"
251568,"F099XY007MI"
251569,"F139XY011OH"
251570,"F099XY007MI"
251571,"F139XY011OH"
251574,"F139XY009OH"
251575,"F139XY004OH"
251576,"F139XY004OH"
251577,"F139XY004OH"
251578,"F139XY002OH"
251579,"F099XY013MI"
251580,"F139XY002OH"
251583,"F099XY002MI"
251584,"F139XY011OH"
251585,"F099XY013MI"
251586,"F139XY011OH"
251587,"F099XY013MI"
251588,"F099XY002MI"
251589,"F099XY002MI"
251594,"F139XY008OH"
251595,"F139XY003OH"
251596,"F139XY011OH"
251597,"F139XY008OH"
251598,"F139XY008OH"
251599,"F139XY003OH"
251604,"F139XY002OH"
251605,"F099XY007MI"
251606,"F139XY002OH"
251608,"F099XY003MI"
251609,"F099XY002MI"
251610,"F099XY002MI"
251611,"F099XY002MI"
251612,"F099XY013MI"
251613,"F139XY002OH"
251614,"F099XY007MI"
251615,"F139XY002OH"
251616,"F139XY002OH"
251617,"F139XY003OH"
251618,"F099XY004MI"
251619,"F139XY008OH"
251620,"F099XY013MI"
251623,"F139XY002OH"
251624,"F139XY002OH"
251626,"F139XY003OH"
251631,"F099XY013MI"
251632,"F139XY002OH"
251633,"F139XY002OH"
251634,"F139XY002OH"
251635,"F139XY002OH"
251924,"F099XY007MI"
252215,"F099XY013MI"
252417,"F099XY007MI"
269533,"F099XY007MI"
269551,"F099XY013MI"
269558,"F099XY009MI"
269563,"F099XY011MI"
280337,"F099XY007MI"
280340,"F099XY003MI"
280342,"F099XY007MI"
280344,"F099XY007MI"
280345,"F099XY007MI"
280347,"F099XY007MI"
280349,"F099XY007MI"
280352,"F099XY007MI"
280355,"F099XY008MI"
280358,"F099XY008MI"
280361,"F099XY008MI"
280365,"F099XY008MI"
280369,"F099XY007MI"
280373,"F099XY007MI"
280377,"F099XY007MI"
280379,"F099XY007MI"
280381,"F099XY007MI"
280384,"F099XY011MI"
280387,"F099XY007MI"
280392,"F099XY007MI"
280396,"F099XY007MI"
280404,"F099XY008MI"
280407,"F099XY008MI"
280409,"F099XY013MI"
280415,"F099XY007MI"
280418,"F099XY007MI"
280421,"F099XY007MI"
280424,"F099XY008MI"
280427,"F099XY013MI"
280430,"F099XY013MI"
280432,"F099XY007MI"
280435,"F099XY007MI"
280437,"F099XY007MI"
280440,"F099XY007MI"
280443,"F099XY007MI"
280447,"F099XY003MI"
280454,"F099XY003MI"
280457,"F099XY003MI"
280461,"F099XY003MI"
863738,"F099XY007MI"
280466,"F099XY007MI"
280470,"F099XY007MI"
280474,"F099XY007MI"
280477,"F099XY007MI"
280480,"F099XY007MI"
280483,"F099XY008MI"
280485,"F099XY009MI"
280487,"F099XY008MI"
280490,"F099XY008MI"
280493,"F099XY007MI"
280496,"F099XY007MI"
280500,"F099XY007MI"
280503,"F099XY007MI"
280506,"F099XY007MI"
280509,"F099XY007MI"
280512,"F099XY003MI"
280515,"F099XY013MI"
280523,"F099XY009MI"
280525,"F099XY007MI"
1139852,"F099XY003MI"
283467,"F099XY002MI"
283468,"F099XY002MI"
283469,"F099XY002MI"
283478,"F099XY007MI"
283487,"F099XY007MI"
283510,"F099XY007MI"
283517,"F099XY007MI"
283524,"F099XY007MI"
283526,"F099XY011MI"
283543,"F099XY007MI"
283546,"F099XY003MI"
283547,"F099XY003MI"
283550,"F099XY013MI"
283549,"F099XY013MI"
1151881,"F099XY013MI"
283553,"F099XY013MI"
283555,"F099XY008MI"
1147903,"F099XY013MI"
283570,"F099XY009MI"
283572,"F099XY013MI"
1145388,"F099XY013MI"
283580,"F099XY013MI"
283590,"F099XY013MI"
283591,"F099XY007MI"
283598,"F099XY013MI"
283600,"F099XY013MI"
1147029,"F099XY007MI"
1147030,"F099XY004MI"
283605,"F099XY007MI"
283690,"F099XY007MI"
283692,"F099XY009MI"
283698,"F099XY008MI"
322858,"F139XY009OH"
322859,"F139XY012OH"
322860,"F139XY001OH"
322861,"F139XY009OH"
322862,"F139XY003OH"
322863,"F139XY003OH"
322864,"F139XY002OH"
322865,"F139XY011OH"
322866,"F139XY002OH"
322867,"F139XY012OH"
322868,"F139XY003OH"
322869,"F139XY003OH"
322870,"F139XY003OH"
322871,"F139XY002OH"
322872,"F139XY002OH"
322873,"F139XY002OH"
322882,"F139XY004OH"
322883,"F139XY008OH"
322887,"F139XY004OH"
322888,"F139XY011OH"
322889,"F139XY011OH"
322890,"F139XY008OH"
322891,"F139XY007OH"
322892,"F139XY007OH"
322893,"F139XY007OH"
322898,"F139XY004OH"
322899,"F139XY004OH"
322900,"F139XY008OH"
322901,"F139XY003OH"
322902,"F139XY003OH"
322903,"F139XY005OH"
322904,"F139XY002OH"
322912,"F139XY002OH"
322914,"F139XY002OH"
322915,"F139XY011OH"
322916,"F139XY008OH"
322917,"F139XY008OH"
322918,"F139XY003OH"
322919,"F139XY003OH"
322920,"F139XY004OH"
323045,"F139XY004OH"
323054,"F139XY011OH"
323058,"F139XY002OH"
903443,"F139XY002OH"
903444,"F139XY002OH"
903446,"F139XY011OH"
903449,"F139XY002OH"
323079,"F139XY013OH"
323082,"F139XY003OH"
903454,"F139XY003OH"
903455,"F139XY003OH"
903456,"F139XY002OH"
903458,"F139XY002OH"
323091,"F139XY002OH"
903459,"F139XY003OH"
903460,"F139XY003OH"
323097,"F139XY011OH"
323098,"F139XY011OH"
903472,"F139XY002OH"
903473,"F139XY002OH"
323114,"F139XY004OH"
323124,"F139XY002OH"
323125,"F139XY002OH"
323126,"F139XY002OH"
323127,"F139XY002OH"
323135,"F139XY002OH"
903485,"F139XY002OH"
903486,"F139XY002OH"
323142,"F139XY009OH"
323143,"F139XY002OH"
903487,"F139XY002OH"
903488,"F139XY002OH"
323151,"F139XY005OH"
323152,"F139XY011OH"
903489,"F139XY011OH"
323154,"F139XY007OH"
903491,"F139XY007OH"
323156,"F139XY007OH"
323159,"F139XY007OH"
903492,"F139XY007OH"
903493,"F139XY007OH"
323162,"F139XY007OH"
903494,"F139XY007OH"
323165,"F139XY007OH"
323182,"F139XY004OH"
323185,"F139XY004OH"
323188,"F139XY008OH"
323191,"F139XY003OH"
903506,"F139XY003OH"
323207,"F139XY002OH"
323208,"F139XY002OH"
903550,"F139XY002OH"
903557,"F139XY002OH"
323222,"F139XY002OH"
323223,"F139XY008OH"
323225,"F139XY008OH"
323246,"F139XY004OH"
323251,"F139XY007OH"
323252,"F139XY007OH"
323253,"F139XY007OH"
323254,"F139XY005OH"
323255,"F139XY004OH"
323256,"F139XY002OH"
323257,"F139XY002OH"
323265,"F139XY002OH"
323267,"F139XY002OH"
323268,"F139XY002OH"
323269,"F139XY013OH"
323270,"F139XY013OH"
323271,"F139XY003OH"
323272,"F139XY003OH"
323273,"F139XY003OH"
323274,"F139XY002OH"
323275,"F139XY002OH"
323276,"F139XY003OH"
323279,"F139XY004OH"
323280,"F139XY007OH"
323281,"F139XY007OH"
323282,"F139XY008OH"
323283,"F139XY003OH"
323293,"F139XY002OH"
323294,"F139XY002OH"
323295,"F139XY002OH"
323296,"F139XY009OH"
323297,"F139XY009OH"
323298,"F139XY008OH"
323299,"F139XY007OH"
323300,"F139XY007OH"
323301,"F139XY007OH"
323303,"F139XY005OH"
323304,"F139XY005OH"
323305,"F139XY004OH"
323306,"F139XY009OH"
323307,"F139XY009OH"
323308,"F139XY004OH"
323309,"F139XY008OH"
323310,"F139XY003OH"
323315,"F139XY002OH"
323316,"F139XY003OH"
323317,"F139XY003OH"
323318,"F139XY002OH"
323319,"F139XY002OH"
323328,"F139XY008OH"
323334,"F139XY009OH"
323335,"F139XY005OH"
323336,"F139XY003OH"
323337,"F139XY005OH"
323338,"F139XY003OH"
323340,"F139XY003OH"
323339,"F139XY005OH"
323341,"F139XY004OH"
323342,"F139XY002OH"
323343,"F139XY005OH"
323587,"F139XY012OH"
323588,"F139XY012OH"
323590,"F139XY002OH"
323591,"F139XY002OH"
323593,"F139XY004OH"
323595,"F139XY011OH"
323596,"F139XY002OH"
323599,"F139XY009OH"
323600,"F139XY008OH"
323601,"F139XY003OH"
323602,"F139XY003OH"
323603,"F139XY003OH"
323604,"F139XY002OH"
323605,"F139XY011OH"
323606,"F139XY011OH"
323608,"F139XY002OH"
323610,"F139XY007OH"
323609,"F139XY007OH"
323618,"F139XY008OH"
323629,"F139XY002OH"
323632,"F139XY002OH"
323633,"F139XY002OH"
323637,"F139XY009OH"
323638,"F139XY004OH"
323640,"F139XY004OH"
323641,"F139XY004OH"
323642,"F139XY004OH"
323645,"F139XY002OH"
323646,"F139XY002OH"
323648,"F139XY007OH"
323649,"F139XY007OH"
323650,"F139XY007OH"
323651,"F139XY007OH"
323660,"F139XY011OH"
323662,"F139XY004OH"
323664,"F139XY004OH"
323665,"F139XY004OH"
323667,"F139XY008OH"
323670,"F139XY003OH"
323671,"F139XY003OH"
323672,"F139XY002OH"
323673,"F139XY003OH"
323680,"F139XY002OH"
323681,"F139XY008OH"
323682,"F139XY008OH"
323686,"F139XY012OH"
323688,"F139XY002OH"
323693,"F139XY004OH"
323696,"F139XY003OH"
323699,"F139XY002OH"
323704,"F139XY004OH"
323709,"F139XY011OH"
323712,"F139XY002OH"
323715,"F139XY002OH"
323723,"F139XY009OH"
323725,"F139XY003OH"
323727,"F139XY003OH"
323729,"F139XY003OH"
323731,"F139XY002OH"
323733,"F139XY003OH"
323734,"F139XY003OH"
323738,"F139XY002OH"
323739,"F139XY002OH"
323741,"F139XY011OH"
323744,"F139XY002OH"
323746,"F139XY002OH"
323776,"F139XY002OH"
323778,"F139XY002OH"
323783,"F139XY009OH"
323784,"F139XY002OH"
323785,"F139XY002OH"
323786,"F139XY002OH"
323787,"F139XY007OH"
323788,"F139XY007OH"
323789,"F139XY007OH"
323791,"F139XY007OH"
323793,"F139XY007OH"
323794,"F139XY007OH"
323800,"F139XY004OH"
323801,"F139XY008OH"
323802,"F139XY003OH"
323803,"F139XY003OH"
323810,"F139XY002OH"
323819,"F139XY008OH"
323822,"F139XY009OH"
323825,"F139XY009OH"
323826,"F139XY009OH"
323827,"F139XY002OH"
323829,"F139XY004OH"
323830,"F139XY004OH"
894892,"F139XY004OH"
894895,"F139XY004OH"
897513,"F139XY002OH"
323835,"F139XY012OH"
323836,"F139XY002OH"
894912,"F139XY002OH"
323851,"F139XY009OH"
323852,"F139XY008OH"
893188,"F139XY008OH"
894947,"F139XY008OH"
323856,"F139XY003OH"
894948,"F139XY003OH"
894949,"F139XY003OH"
894950,"F139XY003OH"
894951,"F139XY002OH"
894952,"F139XY003OH"
894953,"F139XY003OH"
894954,"F139XY003OH"
894955,"F139XY003OH"
894958,"F139XY003OH"
894699,"F139XY005OH"
894232,"F139XY003OH"
894959,"F139XY004OH"
894961,"F139XY002OH"
897514,"F139XY002OH"
894960,"F139XY004OH"
323876,"F139XY002OH"
323875,"F139XY002OH"
894250,"F139XY002OH"
894246,"F139XY002OH"
894251,"F139XY002OH"
894249,"F139XY002OH"
323881,"F139XY012OH"
323882,"F139XY007OH"
895118,"F139XY007OH"
895119,"F139XY007OH"
895120,"F139XY007OH"
323906,"F139XY002OH"
892723,"F139XY002OH"
892724,"F139XY002OH"
894416,"F139XY002OH"
323918,"F139XY002OH"
323920,"F139XY009OH"
894442,"F139XY009OH"
323923,"F139XY002OH"
894448,"F139XY002OH"
894449,"F139XY002OH"
323930,"F139XY013OH"
323931,"F139XY008OH"
323932,"F139XY011OH"
323933,"F139XY007OH"
894456,"F139XY007OH"
894457,"F139XY007OH"
895162,"F139XY007OH"
895163,"F139XY007OH"
895164,"F139XY007OH"
323952,"F139XY002OH"
323953,"F139XY011OH"
323954,"F139XY008OH"
894504,"F139XY003OH"
894505,"F139XY003OH"
894509,"F139XY003OH"
323983,"F139XY009OH"
323984,"F139XY008OH"
323998,"F139XY009OH"
323999,"F139XY005OH"
894881,"F139XY005OH"
324001,"F139XY013OH"
324002,"F139XY005OH"
894733,"F139XY005OH"
894734,"F139XY005OH"
895251,"F139XY004OH"
895252,"F139XY004OH"
895253,"F139XY004OH"
895255,"F139XY004OH"
324009,"F139XY007OH"
894742,"F139XY007OH"
894747,"F139XY004OH"
324013,"F139XY012OH"
324014,"F139XY012OH"
324015,"F139XY012OH"
324017,"F139XY002OH"
324018,"F139XY002OH"
324019,"F139XY002OH"
324020,"F139XY013OH"
324021,"F139XY008OH"
324022,"F139XY003OH"
324023,"F139XY003OH"
324024,"F139XY003OH"
324025,"F139XY003OH"
324027,"F139XY003OH"
324028,"F139XY003OH"
324030,"F139XY007OH"
324031,"F139XY002OH"
324037,"F139XY002OH"
324040,"F139XY008OH"
324043,"F139XY002OH"
