"ncnesoil30m","MLRA.value","LRU","MLRA.total","Value","Count","percentmlra","mu.total","affinity","best","ofbest","compname","coiid","dmuiid","nationalmusym","muname","majcompflag","comppct_r","taxorder","taxsubgrp","taxclname","drainagecl","slope_r","carbdepth","rockdepth","T150_sand","T150_clay","T150_OM","T50_sand","T50_pH","flood","humicdepth","pmkind","pmorigin","landform_string","hydricrating","Bhs","Water_Table","Site","Site111"
187797,60,"98A1",36997771,65541,33940,0.0917352561590805,0.128100103878272,71.6121637545683,71.6121637545683,100,"Adrian",2393899,754782,"2w5lx","Gilford sandy loam, 0 to 2 percent slopes, gravelly subsoil",FALSE,3,"histosols","terric haplosaprists","Sandy or sandy-skeletal, mixed, euic, mesic Terric Haplosaprists","very poorly",0,86,250,38.4,1.28,26.4453333536784,0,5.34000015258789,"none",86,"organic, herbaceous material & glaciofluvial deposits",,"depression & glacial drainage channel & glacial drainage channel & depression","yes","no",0,"M2 Mucky Depression","Mineral Muck"
187801,60,"98A1",36997771,65401,4234,0.0114439326628623,0.0120519133979794,94.9553177571037,94.9553177571037,100,"Adrian",2505108,754816,"2w5mv","Granby loamy sand, 0 to 2 percent slopes",FALSE,1,"histosols","terric haplosaprists","Sandy or sandy-skeletal, mixed, euic, mesic Terric Haplosaprists","very poorly",0,86,250,38.4,1.28,26.4453333536784,0,5.34000015258789,"none",86,"organic, herbaceous material & glaciofluvial deposits",,"depression & moraine & outwash plain & depression","yes","no",0,"M2 Mucky Depression","Mineral Muck"
187815,60,"98A1",36997771,65439,17122,0.0462784636404177,0.0540808830744206,85.5726848556338,85.5726848556338,100,"Linwood",1845821,552660,"69fk","Linwood muck",TRUE,95,"histosols","terric haplosaprists","Loamy, mixed, euic, mesic Terric Haplosaprists","very poorly",1,81,250,20.81,29.8,40.615,10,6.30000019073486,"none",81,"organic, woody material & till, unspecified",,"till-floored lake plain & till plain & depression & depression","yes","no",0,"M2 Mucky Depression","Mineral Muck"
187833,60,"98A1",36997771,65369,30939,0.0836239566972832,0.0912047164882746,91.6881932394735,91.6881932394735,100,"Linwood",2533303,755312,"2w650","Wawasee loam, 2 to 6 percent slopes",FALSE,1,"histosols","terric haplosaprists","Loamy, mixed, euic, mesic Terric Haplosaprists","very poorly",0,81,250,20.81,29.8,40.615,10,6.30000019073486,"none",81,"organic, woody material & till, unspecified",,"end moraine & ground moraine & depression","yes","no",0,"M2 Mucky Depression","Mineral Muck"
187835,60,"98A1",36997771,65497,5264,0.0142278841609134,0.0148548642940029,95.7792941040691,95.7792941040691,100,"Carlisle",2533315,755314,"2w652","Wawasee loam, 6 to 12 percent slopes",FALSE,1,"histosols","typic haplosaprists","Euic, mesic Typic Haplosaprists","very poorly",0,250,250,0,0,77.8,0,5.93200006484985,"none",203,"organic, woody material",,"end moraine & ground moraine & depression","yes","no",0,"M2 Mucky Depression","Deep Muck"
187869,60,"98A1",36997771,64966,874,0.00236230447504527,0.00236230447504527,100,100,100,"Palms",2528239,754820,"2w5mz","Barry loam, 0 to 2 percent slopes",FALSE,2,"histosols","terric haplosaprists","Loamy, mixed, euic, mesic Terric Haplosaprists","very poorly",1,71,250,13.1666666666667,5.26666666666667,21.8966666666667,0,5.34600014686584,"none",71,"organic, herbaceous material & drift",,"moraine & outwash plain & till plain & depression & depression & depression & swamp & swamp & swamp & drainageway & drainageway & drainageway","yes","no",0,"M2 Mucky Depression","Mineral Muck"
187873,89,"98A2",4099387,64696,125,0.00304923638583037,0.00358440376118387,85.0695565843077,85.0695565843077,100,"Willette",290254,145689,"69hf","Bergland silty clay loam",FALSE,10,"histosols","terric medisaprists","Clayey, illitic, euic, mesic Terric Medisaprists","very poorly",1,79,250,3.55,17.9866666666667,43.5683333333333,0,6.69999980926514,"none",79,,,"till plain & outwash plain & moraine & lake plain & depression & depression & depression & depression","yes","no",0,"M2 Mucky Depression","Mineral Muck"
187913,89,"98A2",4099387,64475,7977,0.194590069198151,0.304521016119251,63.9003743248871,63.9003743248871,100,"Carlisle",2393982,754801,"2w5mf","Carlisle muck, 0 to 2 percent slopes",TRUE,90,"histosols","typic haplosaprists","Euic, mesic Typic Haplosaprists","very poorly",1,250,250,0,0,77.8,0,5.93200006484985,"none",203,"organic, woody material",,"moraine & depression & glacial drainage channel & depression & outwash plain & depression & depression & till plain","yes","no",0,"M2 Mucky Depression","Deep Muck"
187913,89,"98A2",4099387,64475,7977,0.194590069198151,0.304521016119251,63.9003743248871,63.9003743248871,100,"Adrian",2393986,754801,"2w5mf","Carlisle muck, 0 to 2 percent slopes",FALSE,2,"histosols","terric haplosaprists","Sandy or sandy-skeletal, mixed, euic, mesic Terric Haplosaprists","very poorly",1,86,250,38.4,1.28,26.4453333536784,0,5.34000015258789,"none",86,"organic, herbaceous material & glaciofluvial deposits",,"moraine & depression & drainageway & glacial drainage channel & drainageway & outwash plain & drainageway & depression & outwash plain & depression","yes","no",0,"M2 Mucky Depression","Mineral Muck"
187913,89,"98A2",4099387,64475,7977,0.194590069198151,0.304521016119251,63.9003743248871,63.9003743248871,100,"Linwood",2393990,754801,"2w5mf","Carlisle muck, 0 to 2 percent slopes",FALSE,4,"histosols","terric haplosaprists","Loamy, mixed, euic, mesic Terric Haplosaprists","very poorly",1,81,250,20.81,29.8,40.615,10,6.30000019073486,"none",81,"organic, woody material & till, unspecified",,"moraine & depression & depression & till plain","yes","no",0,"M2 Mucky Depression","Mineral Muck"
187948,60,"98A1",36997771,64434,2499,0.00675446096468893,0.0110477857959381,61.1385945514288,61.1385945514288,100,"Palms",2219233,629883,"2rfgx","Edwards muck, 0 to 1 percent slopes",FALSE,2,"histosols","terric haplosaprists","Loamy, mixed, euic, mesic Terric Haplosaprists","very poorly",0,89,250,13.9893339538574,13.42,38.77,0,6.5,"none",89,"organic, herbaceous material & drift",,"moraine & depression & drainageway & glacial drainage channel & drainageway & outwash plain & drainageway & depression & moraine & drainageway & outwash plain & depression","yes","no",0,"M2 Mucky Depression","Mineral Muck"
187948,60,"98A1",36997771,64434,2499,0.00675446096468893,0.0110477857959381,61.1385945514288,61.1385945514288,100,"Edwards",2093966,629883,"2rfgx","Edwards muck, 0 to 1 percent slopes",TRUE,90,"histosols","limnic haplosaprists","Marly, euic, mesic Limnic Haplosaprists","very poorly",0,23,250,11.2,9.52,41.82,0,5.87799989700317,"none",203,"organic, herbaceous material & marl",,"moraine & glacial drainage channel & outwash plain & lakebed (relict) & lakebed (relict) & lakebed (relict)","yes","no",0,"M2 Mucky Depression","Limnic Muck"
187948,60,"98A1",36997771,64434,2499,0.00675446096468893,0.0110477857959381,61.1385945514288,61.1385945514288,100,"Adrian",2219227,629883,"2rfgx","Edwards muck, 0 to 1 percent slopes",FALSE,3,"histosols","terric haplosaprists","Sandy or sandy-skeletal, mixed, euic, mesic Terric Haplosaprists","very poorly",0,86,250,38.4,1.28,26.4453333536784,0,5.34000015258789,"none",86,"organic, herbaceous material & glaciofluvial deposits",,"moraine & glacial drainage channel & outwash plain & lakebed (relict) & lakebed (relict) & lakebed (relict)","yes","no",0,"M2 Mucky Depression","Mineral Muck"
187948,60,"98A1",36997771,64434,2499,0.00675446096468893,0.0110477857959381,61.1385945514288,61.1385945514288,100,"Houghton",2219235,629883,"2rfgx","Edwards muck, 0 to 1 percent slopes",FALSE,3,"histosols","typic haplosaprists","Euic, mesic Typic Haplosaprists","very poorly",0,250,250,0,0,74,0,5.92000007629395,"none",203,"organic, herbaceous material",,"moraine & glacial drainage channel & outwash plain & lakebed (relict) & lakebed (relict) & lakebed (relict)","yes","no",0,"M2 Mucky Depression","Deep Muck"
187949,60,"98A1",36997771,64483,735,0.00198660616608498,0.00215736340369148,92.0849108075943,92.0849108075943,100,"Edwards",270751,145765,"69kw","Edwards muck, sloping",TRUE,100,"histosols","limnic medisaprists","Marly, euic, mesic Limnic Medisaprists","very poorly",1,81,250,2.89800008773804,10.8560001754761,50.99,0,6.19999980926514,"none",152,"organic, herbaceous material & marl",,"lake plain & depression","yes","no",0,"M2 Mucky Depression","Limnic Muck"
187967,60,"98A1",36997771,64813,1199,0.003240735772974,0.003240735772974,100,100,100,"Adrian",2393899,754782,"2w5lx","Gilford sandy loam, 0 to 2 percent slopes, gravelly subsoil",FALSE,3,"histosols","terric haplosaprists","Sandy or sandy-skeletal, mixed, euic, mesic Terric Haplosaprists","very poorly",0,86,250,38.4,1.28,26.4453333536784,0,5.34000015258789,"none",86,"organic, herbaceous material & glaciofluvial deposits",,"depression & glacial drainage channel & glacial drainage channel & depression","yes","no",0,"M2 Mucky Depression","Mineral Muck"
187974,89,"98A2",4099387,64527,1936,0.0472265731437408,0.0500889077422224,94.2854920829731,94.2854920829731,100,"Adrian",2505108,754816,"2w5mv","Granby loamy sand, 0 to 2 percent slopes",FALSE,1,"histosols","terric haplosaprists","Sandy or sandy-skeletal, mixed, euic, mesic Terric Haplosaprists","very poorly",0,86,250,38.4,1.28,26.4453333536784,0,5.34000015258789,"none",86,"organic, herbaceous material & glaciofluvial deposits",,"depression & moraine & outwash plain & depression","yes","no",0,"M2 Mucky Depression","Mineral Muck"
188007,60,"98A1",36997771,64429,2471,0.00667878072979045,0.0108501361056064,61.5548106013107,61.5548106013107,100,"Tawas",290387,145823,"69mr","Kerston muck",FALSE,5,"histosols","terric medisaprists","Sandy or sandy-skeletal, mixed, euic, mesic Terric Medisaprists","very poorly",1,81,250,42.3659992980957,2.76,44.665,0,6.19999980926514,"none",81,"organic, woody material & drift",,"till plain & outwash plain & moraine & lake plain & depression & depression & depression & depression","yes","no",0,"M2 Mucky Depression","Mineral Muck"
188010,60,"98A1",36997771,64373,3752,0.0101411514763957,0.0101411514763957,100,100,100,"Linwood",290393,145826,"69mv","Kokomo clay loam",FALSE,5,"histosols","terric medisaprists","Loamy, mixed, euic, mesic Terric Medisaprists","very poorly",1,86,250,27.7759993489583,8.53333333333333,49.6066666666667,0,6.19999980926514,"none",86,"organic, woody material & till, unspecified",,"till plain & outwash plain & moraine & lake plain & depression & depression & depression & depression","yes","no",0,"M2 Mucky Depression","Mineral Muck"
188028,60,"98A1",36997771,64388,12567,0.033966911141755,0.0360403918841197,94.2467863583962,94.2467863583962,100,"Linwood",270846,145844,"69nf","Linwood muck",TRUE,80,"histosols","terric medisaprists","Loamy, mixed, euic, mesic Terric Medisaprists","very poorly",1,86,250,27.7759993489583,8.53333333333333,49.6066666666667,0,6.19999980926514,"none",86,"organic, woody material & till, unspecified",,"lake plain & depression","yes","no",0,"M2 Mucky Depression","Mineral Muck"
